Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		8.2		-157.1		0.02		0.02		0.02		0.02		2.289		140.0		
0.098		13.4		-159.7		3.69		0.02		0.02		0.02		2.270		133.9		
0.195		1.7		-157.1		3.68		0.02		0.01		0.02		2.246		141.3		
0.293		10.4		-155.4		3.68		0.02		0.01		0.02		2.236		144.3		
0.391		9.1		-151.0		3.69		0.02		0.01		0.02		2.230		143.4		
0.488		9.1		-156.7		3.68		0.02		0.01		0.02		2.208		140.0		
0.586		29.1		-161.5		3.68		0.02		0.01		0.02		2.200		150.8		
0.684		37.3		-165.4		3.68		0.02		0.01		0.02		2.213		153.8		
0.781		43.4		-165.9		3.69		0.02		0.01		0.02		2.217		155.6		
0.879		50.3		-168.5		3.68		0.02		0.01		0.02		2.198		157.7		
0.977		52.0		-172.0		3.68		0.02		0.01		0.02		2.194		159.9		
1.074		58.1		-169.8		3.68		0.02		0.01		0.02		2.230		161.6		
1.172		62.0		-172.9		3.68		0.02		0.01		0.01		2.232		162.9		
1.270		65.0		-173.7		3.68		0.01		0.01		0.02		2.221		162.5		
1.367		70.7		-175.5		3.68		0.02		0.01		0.02		2.236		164.7		
1.465		77.6		-174.2		3.68		0.02		0.01		0.02		2.251		164.2		
1.563		81.5		-175.5		3.68		0.02		0.01		0.02		2.249		166.0		
1.660		82.4		-177.2		3.68		0.02		0.01		0.02		2.268		165.1		
1.758		88.5		-177.2		3.68		0.02		0.01		0.02		2.282		166.0		
1.855		91.9		-178.1		3.68		0.02		0.01		0.02		2.289		168.1		
1.953		100.2		-178.6		3.69		0.02		0.01		0.02		2.293		165.5		
2.051		102.3		-178.6		3.68		0.02		0.01		0.02		2.301		166.4		
2.148		104.5		-177.2		3.68		0.02		0.01		0.02		2.312		168.1		
2.246		110.6		-178.1		3.69		0.02		0.01		0.02		2.295		165.5		
2.344		115.3		-174.6		3.68		0.02		0.01		0.02		2.340		165.5		
2.441		117.9		-177.2		3.69		0.02		0.01		0.02		2.318		163.4		
2.539		121.8		-176.4		3.69		0.02		0.01		0.02		2.346		162.5		
2.637		125.7		-168.5		3.68		0.02		0.01		0.02		2.329		159.9		
2.734		130.5		-169.4		3.68		0.02		0.01		0.02		2.352		159.9		
2.832		137.0		-165.4		3.68		0.02		0.01		0.02		2.337		154.3		
2.930		139.6		-161.5		3.68		0.02		0.01		0.02		2.335		153.0		
3.027		145.3		-158.0		3.68		0.02		0.01		0.02		2.323		150.4		
3.125		148.7		-154.9		3.68		0.02		0.01		0.02		2.325		146.0		
3.223		153.5		-150.1		3.68		0.02		0.01		0.02		2.295		140.0		
3.320		158.3		-149.2		3.68		0.02		0.01		0.02		2.268		136.1		
3.418		157.0		-144.4		3.68		0.02		0.01		0.02		2.276		136.5		
3.516		153.5		-151.4		3.69		3.68		0.01		0.01		2.244		143.0		
3.613		154.4		-148.8		3.68		3.69		0.01		0.01		2.242		141.3		
3.711		157.0		-145.3		3.69		3.68		0.01		0.01		2.227		141.7		
3.809		153.9		-145.7		3.68		3.68		0.01		0.01		2.227		142.1		
3.906		169.5		-131.7		3.69		3.69		0.01		0.02		2.198		152.1		
4.004		166.9		-133.5		3.69		3.68		0.01		0.01		2.206		153.8		
4.102		167.8		-124.3		3.68		3.68		0.01		0.01		2.204		155.1		
4.199		171.3		-121.7		3.68		3.68		0.01		0.01		2.196		157.3		
4.297		172.1		-117.7		3.69		3.68		0.01		0.01		2.208		158.2		
4.395		173.4		-113.8		3.68		3.68		0.01		0.02		2.213		161.2		
4.492		175.2		-112.5		3.68		3.68		0.01		0.01		2.215		162.1		
4.590		174.7		-105.5		3.69		3.68		0.01		0.01		2.230		163.8		
4.688		178.6		-105.5		3.68		3.68		0.01		0.01		2.234		164.7		
4.785		176.9		-98.5		3.68		3.68		0.01		0.02		2.238		163.8		
4.883		174.3		-95.4		3.69		3.68		0.01		0.01		2.257		163.8		
4.980		178.2		-89.7		3.68		3.68		0.01		0.01		2.270		168.1		
5.078		178.6		-85.3		3.69		3.68		0.01		0.02		2.270		166.8		
5.176		177.8		-81.8		3.68		3.68		0.01		0.01		2.278		168.6		
5.273		176.0		-80.1		3.68		3.68		0.01		0.01		2.278		166.0		
5.371		175.6		-74.8		3.69		3.68		0.01		0.01		2.291		165.1		
5.469		176.9		-66.1		3.68		3.69		0.01		0.01		2.318		166.4		
5.566		176.0		-64.8		3.68		3.68		0.01		0.01		2.314		161.6		
5.664		173.4		-61.7		3.69		3.68		0.01		0.01		2.329		161.6		
5.762		174.7		-57.3		3.69		3.69		0.01		0.02		2.329		162.5		
5.859		173.4		-50.3		3.68		3.68		0.01		0.02		2.316		159.5		
5.957		172.6		-44.6		3.69		3.68		0.01		0.01		2.337		159.0		
6.055		169.1		-35.0		3.69		3.68		0.01		0.02		2.327		158.2		
6.152		166.1		-28.9		3.68		3.68		0.02		0.01		2.340		154.3		
6.250		163.0		-24.1		3.69		3.68		0.01		0.01		2.331		152.1		
6.348		162.6		-20.1		3.69		3.68		0.01		0.01		2.320		151.7		
6.445		160.4		-9.6		3.69		3.69		0.01		0.02		2.318		145.2		
6.543		157.0		-4.4		3.69		3.68		0.02		0.02		2.291		140.8		
6.641		152.6		3.9		3.69		3.68		0.01		0.02		2.291		142.1		
6.738		145.7		13.1		3.69		3.69		0.01		0.02		2.278		138.7		
6.836		150.9		6.1		0.02		3.68		3.68		0.02		2.242		146.0		
6.934		150.9		8.3		0.03		3.69		3.68		0.02		2.232		143.9		
7.031		145.7		7.0		0.02		3.68		3.68		0.02		2.240		141.7		
7.129		142.7		11.4		0.02		3.69		3.68		0.02		2.215		141.7		
7.227		134.4		24.1		0.02		3.69		3.68		0.02		2.204		150.8		
7.324		131.4		35.4		0.02		3.69		3.69		0.02		2.210		156.4		
7.422		130.5		41.1		0.02		3.69		3.68		0.02		2.223		157.7		
7.520		124.4		46.4		0.02		3.69		3.68		0.02		2.206		157.7		
7.617		117.9		52.5		0.02		3.69		3.68		0.02		2.221		159.0		
7.715		112.3		56.0		0.02		3.69		3.68		0.02		2.225		164.2		
7.813		109.7		63.5		0.02		3.69		3.68		0.02		2.221		160.3		
7.910		108.0		67.8		0.02		3.68		3.69		0.02		2.236		162.9		
8.008		104.5		72.6		0.02		3.69		3.68		0.02		2.251		162.9		
8.105		101.5		75.7		0.02		3.69		3.68		0.02		2.246		166.0		
8.203		95.0		80.5		0.02		3.68		3.68		0.01		2.270		165.1		
8.301		91.1		87.1		0.02		3.68		3.68		0.01		2.282		167.3		
8.398		85.9		88.4		0.02		3.69		3.68		0.01		2.280		168.1		
8.496		86.7		93.2		0.02		3.68		3.68		0.01		2.293		168.1		
