Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
7.715		121.0		71.8		3.69		0.03		0.01		0.02		0.000		0.0		
7.813		118.4		77.5		3.69		0.03		0.01		0.02		0.004		-1.3		
7.910		114.0		83.6		3.69		0.03		0.02		0.02		0.000		-1.7		
8.008		111.4		87.5		3.69		0.03		0.01		0.02		0.011		0.9		
8.105		104.5		91.9		3.69		0.03		0.01		0.02		-0.002		-0.9		
8.203		103.2		96.7		3.68		0.03		0.01		0.02		0.006		-0.9		
8.301		56.4		123.0		3.69		3.69		0.02		0.02		0.123		35.5		
8.398		92.8		106.3		3.69		3.69		0.02		0.01		0.391		86.7		
8.496		85.9		110.3		3.68		3.69		0.02		0.01		0.368		84.9		
8.594		84.6		113.8		3.68		3.69		0.01		0.01		0.343		81.5		
8.691		76.7		116.4		3.69		3.69		0.01		0.01		0.341		74.5		
8.789		75.9		119.5		3.69		3.69		0.02		0.01		0.326		75.0		
8.887		71.5		123.9		3.69		3.69		0.01		0.01		0.313		71.5		
8.984		70.2		130.9		3.68		3.69		0.01		0.02		0.305		65.9		
9.082		62.9		132.2		3.69		3.69		0.02		0.02		0.258		63.3		
9.180		55.5		133.9		3.69		3.69		0.01		0.02		0.241		52.9		
9.277		49.0		140.5		3.69		3.69		0.02		0.01		0.199		49.4		
9.375		42.5		144.4		3.68		3.69		0.01		0.01		0.190		40.7		
9.473		35.6		150.5		3.69		3.69		0.01		0.02		0.150		32.1		
9.570		29.1		154.0		3.68		3.69		0.01		0.01		0.116		25.6		
9.668		21.2		155.8		3.68		3.69		0.01		0.02		0.095		20.8		
9.766		15.6		163.2		3.69		3.69		0.01		0.02		0.068		13.4		
9.863		7.4		163.7		3.69		3.69		0.01		0.02		0.025		8.2		
9.961		1.3		168.9		3.69		3.69		0.01		0.01		0.004		1.3		
10.059		-6.9		168.9		3.69		3.69		0.01		0.01		-0.006		0.4		
10.156		-17.3		173.3		3.69		3.69		0.01		0.02		-0.004		0.9		
10.254		-23.8		176.4		3.68		3.69		0.01		0.02		-0.004		0.9		
10.352		-33.0		177.2		3.69		3.68		0.01		0.01		-0.013		-1.3		
10.449		-38.2		181.6		3.69		3.69		0.01		0.01		0.004		-0.9		
10.547		-44.2		181.6		3.69		3.69		0.01		0.02		0.008		0.9		
10.645		-48.1		186.4		3.69		3.69		0.01		0.01		0.000		0.9		
10.742		-52.9		186.4		3.69		3.68		0.02		0.02		-0.011		-1.7		
10.840		-59.8		187.7		3.69		3.69		0.01		0.01		-0.004		0.9		
10.938		-62.0		187.7		3.69		3.69		0.01		0.02		-0.004		1.7		
11.035		-70.2		190.8		3.69		3.69		0.02		0.01		0.000		-0.4		
11.133		-72.4		192.1		3.69		3.70		0.01		0.02		-0.004		0.0		
11.230		-79.3		196.5		3.69		3.69		0.01		0.02		-0.002		-1.7		
11.328		-85.0		196.9		3.69		3.68		0.01		0.01		-0.015		-3.0		
11.426		-88.9		197.4		3.68		3.69		0.01		0.01		0.000		-1.7		
11.523		-93.7		195.6		3.69		3.68		0.01		0.01		-0.017		0.4		
11.621		-98.0		193.9		0.02		3.68		3.68		0.01		-0.013		0.4		
11.719		-105.4		195.6		0.02		3.69		3.68		0.01		0.372		85.4		
11.816		-110.1		194.3		0.02		3.69		3.68		0.01		0.362		81.5		
11.914		-112.7		195.2		0.02		3.69		3.68		0.02		0.349		77.6		
12.012		-117.9		191.7		0.02		3.69		3.68		0.01		0.330		75.8		
12.109		-120.5		192.6		0.02		3.69		3.68		0.01		0.326		71.1		
12.207		-122.3		196.9		0.02		3.69		3.68		0.02		0.296		68.5		
12.305		-126.6		194.7		0.02		3.69		3.68		0.01		0.273		63.3		
12.402		-135.3		193.9		0.02		3.69		3.68		0.01		0.258		58.5		
12.500		-137.5		190.8		0.02		3.69		3.68		0.02		0.224		50.3		
12.598		-141.8		188.6		0.02		3.69		3.68		0.01		0.203		47.7		
12.695		-145.7		186.4		0.02		3.69		3.68		0.01		0.169		42.5		
12.793		-149.6		182.9		0.02		3.69		3.68		0.01		0.140		32.5		
12.891		-151.3		183.4		0.02		3.69		3.68		0.01		0.114		25.6		
12.988		-157.0		178.6		0.02		3.69		3.68		0.01		0.089		20.4		
13.086		-161.3		173.3		0.02		3.69		3.68		0.02		0.070		11.3		
13.184		-163.5		170.2		0.02		3.69		3.68		0.01		0.032		6.5		
13.281		-164.8		164.6		0.02		3.69		3.68		0.02		-0.006		-2.2		
13.379		-172.1		161.5		0.02		3.69		3.68		0.01		0.008		2.6		
13.477		-172.6		158.4		0.02		3.69		3.68		0.01		-0.004		-0.9		
13.574		-178.6		151.4		0.02		3.69		3.68		0.01		0.000		0.4		
13.672		-177.8		150.5		0.02		3.69		3.68		0.01		0.000		0.0		
13.770		-182.1		146.2		0.02		3.68		3.68		0.01		-0.013		0.0		
13.867		-185.6		140.0		0.02		3.68		3.68		0.02		-0.011		0.0		
13.965		-188.2		137.4		0.02		3.69		3.68		0.01		0.000		0.4		
14.063		-188.2		131.7		0.02		3.69		3.68		0.02		0.008		0.9		
14.160		-189.1		129.1		0.02		3.69		3.68		0.02		-0.006		2.2		
14.258		-192.5		124.7		0.02		3.69		3.68		0.01		-0.002		-0.9		
14.355		-191.7		119.9		0.02		3.69		3.68		0.02		-0.002		-0.4		
14.453		-192.5		118.2		0.02		3.69		3.68		0.02		0.006		-0.9		
14.551		-194.7		111.2		0.02		3.68		3.68		0.02		-0.011		2.2		
14.648		-191.7		107.2		0.02		3.69		3.68		0.02		0.004		-0.4		
14.746		-194.7		106.3		0.02		3.69		3.68		0.02		-0.004		0.4		
14.844		-196.4		100.7		0.02		3.69		3.68		0.02		0.000		1.7		
14.941		-196.0		97.2		0.02		3.69		3.68		0.01		0.000		1.3		
15.039		-192.5		89.7		0.02		0.03		3.68		3.69		0.372		86.2		
15.137		-193.8		84.9		0.02		0.02		3.68		3.69		0.362		85.8		
15.234		-195.1		83.2		0.01		0.02		3.68		3.69		0.353		78.9		
15.332		-193.8		78.8		0.02		0.02		3.68		3.69		0.328		75.4		
15.430		-192.5		77.9		0.01		0.03		3.68		3.69		0.307		71.1		
15.527		-196.4		69.6		0.01		0.02		3.68		3.69		0.305		69.8		
15.625		-195.1		68.7		0.02		0.02		3.68		3.69		0.281		64.6		
15.723		-191.2		63.0		0.02		0.03		3.68		3.69		0.264		58.9		
15.820		-190.8		55.1		0.01		0.02		3.68		3.69		0.237		55.5		
15.918		-187.8		47.3		0.02		0.03		3.68		3.69		0.201		49.0		
16.016		-190.4		43.8		0.01		0.03		3.68		3.69		0.182		42.5		
16.113		-185.1		36.8		0.01		0.02		3.68		3.69		0.159		36.0		
16.211		-182.5		29.8		0.01		0.02		3.68		3.69		0.121		31.2		
16.309		-180.4		22.8		0.02		0.03		3.68		3.69		0.089		19.9		
16.406		-177.3		17.5		0.01		0.02		3.68		3.69		0.066		14.7		
16.504		-175.2		7.9		0.02		0.03		3.68		3.69		0.030		8.7		
16.602		-170.8		-0.4		0.01		0.02		3.68		3.69		-0.006		2.6		
16.699		-165.6		-8.3		0.01		0.03		3.68		3.69		0.002		-3.0		
16.797		-159.1		-14.9		0.02		0.03		3.68		3.69		-0.008		0.0		
16.895		-153.5		-23.2		0.01		0.02		3.68		3.69		0.004		0.4		
16.992		-148.7		-29.8		0.01		0.02		3.68		3.69		-0.008		-1.7		
17.090		-146.1		-34.1		0.01		0.02		3.68		3.69		0.002		2.6		
17.188		-140.5		-41.1		0.01		0.02		3.68		3.69		0.006		0.0		
17.285		-139.2		-47.7		0.01		0.02		3.68		3.69		0.008		-0.4		
17.383		-134.0		-53.0		0.01		0.01		3.68		3.69		-0.015		-0.4		
17.480		-131.4		-57.3		0.01		0.02		3.68		3.69		0.011		-1.3		
17.578		-124.4		-66.1		0.01		0.03		3.68		3.69		-0.006		0.4		
17.676		-121.8		-70.0		0.01		0.03		3.68		3.69		-0.006		-3.0		
17.773		-119.2		-77.0		0.01		0.02		3.68		3.68		0.008		0.0		
17.871		-114.0		-81.0		0.01		0.03		3.68		3.69		-0.002		1.3		
17.969		-111.9		-84.9		0.01		0.02		3.68		3.68		-0.002		3.0		
18.066		-109.7		-90.2		0.02		0.02		3.68		3.69		0.006		-0.4		
18.164		-104.1		-91.9		0.01		0.03		3.68		3.69		-0.006		-2.2		
18.262		-100.6		-98.5		0.01		0.03		3.68		3.69		-0.006		0.4		
18.359		-93.2		-105.9		0.01		0.03		0.02		3.69		0.372		86.7		
18.457		-89.8		-110.3		0.01		0.02		0.02		3.69		0.385		84.9		
18.555		-86.3		-114.7		0.02		0.02		0.02		3.69		0.362		83.6		
18.652		-78.9		-116.4		0.02		0.02		0.02		3.69		0.347		80.2		
18.750		-76.3		-117.7		0.01		0.02		0.02		3.69		0.322		74.1		
18.848		-75.4		-124.7		0.01		0.02		0.02		3.69		0.311		70.2		
18.945		-71.1		-123.9		0.02		0.03		0.02		3.69		0.300		69.8		
19.043		-65.5		-132.6		0.02		0.03		0.02		3.69		0.283		65.0		
19.141		-58.1		-130.0		0.02		0.02		0.02		3.69		0.250		59.4		
19.238		-54.2		-138.3		0.02		0.02		0.02		3.69		0.209		50.7		
19.336		-46.0		-143.5		0.02		0.02		0.02		3.69		0.188		43.3		
19.434		-40.8		-151.9		0.02		0.03		0.02		3.69		0.167		38.6		
19.531		-30.8		-151.9		0.02		0.03		0.02		3.69		0.133		29.9		
19.629		-24.3		-154.0		0.01		0.02		0.02		3.69		0.108		22.1		
19.727		-19.5		-157.5		0.01		0.02		0.02		3.69		0.076		16.5		
19.824		-9.5		-162.8		0.02		0.03		0.02		3.69		0.038		10.8		
19.922		-2.6		-164.1		0.01		0.02		0.02		3.68		0.015		-0.4		
20.020		3.0		-169.4		0.02		0.03		0.01		3.69		0.011		-0.4		
20.117		12.6		-174.6		0.01		0.02		0.02		3.69		-0.006		0.4		
20.215		20.4		-176.4		0.01		0.02		0.01		3.69		0.000		-0.4		
