Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		5.6		-165.0		0.02		0.02		0.02		0.02		1.117		149.5		
0.098		12.6		-165.0		0.02		0.02		0.02		0.02		1.111		146.5		
0.195		18.6		-167.6		0.02		0.02		0.02		0.02		1.113		141.7		
0.293		29.1		-171.1		0.02		0.02		0.02		0.02		1.085		139.5		
0.391		35.1		-173.7		0.02		0.02		0.01		0.02		1.072		132.6		
0.488		39.0		-172.9		0.02		0.02		0.02		0.02		1.070		128.7		
0.586		47.7		-177.2		0.02		0.02		0.02		0.02		1.075		125.2		
0.684		51.2		-178.6		0.02		0.02		0.02		0.02		1.043		121.3		
0.781		56.8		-180.3		0.02		0.02		0.02		0.02		1.039		119.2		
0.879		61.1		-183.8		0.02		0.02		0.02		0.02		1.024		114.0		
0.977		66.8		-185.6		0.02		0.02		0.02		0.02		1.003		114.0		
1.074		71.5		-190.4		0.02		0.02		0.01		0.02		0.956		110.9		
1.172		75.0		-191.2		0.02		0.02		0.02		0.02		0.924		107.9		
1.270		78.9		-188.2		0.02		0.02		0.02		0.02		0.855		104.0		
1.367		85.0		-192.6		0.02		0.02		0.02		0.02		0.819		101.4		
1.465		90.6		-190.8		0.02		0.02		0.02		0.02		0.747		101.4		
1.563		95.0		-191.2		0.02		0.02		0.02		0.02		0.715		94.5		
1.660		28.6		-161.1		3.68		0.03		0.01		0.02		0.681		140.8		
1.758		101.5		-184.7		3.69		0.02		0.01		0.02		0.742		180.7		
1.855		101.9		-186.9		3.68		0.02		0.01		0.02		0.795		182.0		
1.953		106.7		-190.4		3.68		0.02		0.01		0.02		0.840		185.0		
2.051		108.8		-188.6		3.68		0.02		0.01		0.02		0.882		183.3		
2.148		114.5		-188.2		3.69		0.02		0.01		0.02		0.920		180.3		
2.246		117.9		-188.6		3.69		0.02		0.01		0.02		0.948		182.0		
2.344		117.5		-185.1		3.68		0.02		0.01		0.02		0.984		180.7		
2.441		124.0		-188.2		3.68		0.02		0.01		0.02		1.001		176.4		
2.539		130.9		-183.4		3.68		0.02		0.01		0.02		1.015		177.7		
2.637		130.5		-182.1		3.68		0.02		0.01		0.02		1.039		175.1		
2.734		137.0		-180.3		3.68		0.02		0.01		0.02		1.043		173.3		
2.832		142.7		-175.9		3.68		0.02		0.01		0.02		1.062		169.4		
2.930		147.0		-172.4		3.68		0.02		0.01		0.02		1.075		165.1		
3.027		150.0		-171.6		3.68		0.02		0.01		0.02		1.100		160.3		
3.125		153.1		-164.6		3.68		0.02		0.01		0.02		1.113		157.7		
3.223		159.1		-160.2		3.68		0.02		0.01		0.02		1.138		154.3		
3.320		160.0		-155.4		3.69		0.02		0.01		0.02		1.153		150.8		
3.418		162.6		-150.5		3.68		0.02		0.01		0.02		1.161		148.2		
3.516		169.5		-148.4		3.68		0.02		0.01		0.02		1.142		143.9		
3.613		171.7		-143.5		3.68		0.02		0.01		0.02		1.142		139.1		
3.711		172.6		-140.5		3.68		0.02		0.01		0.02		1.117		135.2		
3.809		177.3		-135.2		3.68		0.02		0.01		0.02		1.091		133.0		
3.906		179.5		-132.2		3.68		0.02		0.01		0.02		1.070		127.0		
4.004		178.2		-130.0		3.68		0.02		0.01		0.02		1.026		123.9		
4.102		184.7		-127.4		3.68		0.02		0.01		0.02		0.992		119.6		
4.199		184.7		-123.4		3.68		0.02		0.01		0.02		0.988		114.4		
4.297		185.6		-118.2		3.68		0.02		0.01		0.02		0.956		113.1		
4.395		186.4		-117.3		3.68		0.02		0.01		0.02		0.941		108.8		
4.492		187.8		-109.0		3.68		0.02		0.01		0.02		0.895		105.3		
4.590		188.2		-104.6		3.68		0.02		0.01		0.02		0.893		101.8		
4.688		193.4		-102.8		3.68		0.02		0.01		0.02		0.844		101.0		
4.785		194.7		-104.6		3.68		0.02		0.01		0.02		0.831		97.1		
4.883		193.8		-96.7		3.68		0.02		0.01		0.02		0.759		92.7		
4.980		142.7		-135.2		3.68		3.69		0.01		0.02		0.745		143.4		
5.078		196.0		-102.0		3.69		3.69		0.02		0.01		0.755		185.9		
5.176		189.9		-86.2		3.68		3.69		0.01		0.02		0.806		187.2		
5.273		190.8		-82.7		3.69		3.69		0.01		0.01		0.836		182.0		
5.371		188.6		-77.0		3.69		3.69		0.01		0.02		0.848		181.1		
5.469		188.2		-74.8		3.68		3.69		0.01		0.01		0.876		182.9		
5.566		185.6		-71.8		3.69		3.69		0.01		0.02		0.899		181.6		
5.664		185.6		-69.6		3.68		3.69		0.01		0.02		0.916		180.7		
5.762		185.6		-62.6		3.68		3.69		0.01		0.02		0.956		179.0		
5.859		179.9		-54.3		3.68		3.68		0.01		0.01		0.994		177.7		
5.957		179.1		-44.6		3.68		3.69		0.01		0.02		1.034		175.1		
6.055		178.2		-39.8		3.68		3.69		0.01		0.02		1.066		171.6		
6.152		174.7		-33.7		3.69		3.69		0.02		0.02		1.091		168.6		
6.250		173.0		-28.0		3.69		3.69		0.02		0.02		1.127		166.4		
6.348		167.4		-19.7		3.68		3.69		0.01		0.02		1.144		163.8		
6.445		166.1		-12.3		3.69		3.69		0.02		0.01		1.138		159.5		
6.543		163.5		-4.4		3.69		3.69		0.02		0.02		1.142		157.7		
6.641		157.8		4.8		3.69		3.69		0.01		0.02		1.134		154.3		
6.738		156.1		8.3		3.69		3.69		0.02		0.02		1.125		152.1		
6.836		151.3		19.7		3.69		3.69		0.02		0.02		1.102		145.2		
6.934		145.3		25.4		3.69		3.69		0.02		0.02		1.104		138.7		
7.031		141.4		31.9		3.69		3.69		0.02		0.02		1.081		135.2		
7.129		137.5		38.9		3.69		3.69		0.02		0.02		1.075		130.9		
7.227		132.2		43.8		3.69		3.69		0.02		0.02		1.066		126.5		
7.324		129.6		53.8		3.69		3.69		0.02		0.02		1.066		123.1		
7.422		125.3		57.8		3.69		3.69		0.02		0.02		1.045		119.6		
7.520		122.7		63.5		3.69		3.69		0.02		0.02		1.036		117.0		
7.617		118.8		66.5		3.69		3.69		0.02		0.02		0.990		112.2		
7.715		116.6		74.8		3.69		3.69		0.02		0.02		0.973		111.8		
7.813		114.0		74.4		3.69		3.69		0.02		0.02		0.937		107.5		
7.910		111.4		82.3		3.69		3.69		0.02		0.02		0.882		105.3		
8.008		107.5		87.1		3.69		3.69		0.01		0.02		0.844		103.6		
8.105		103.2		91.0		3.68		3.69		0.01		0.01		0.781		101.8		
8.203		100.2		94.5		3.69		3.69		0.02		0.01		0.740		100.1		
8.301		95.8		98.9		0.03		3.69		3.68		0.02		0.692		93.6		
8.398		84.6		101.1		0.02		3.69		3.68		0.01		0.732		172.5		
8.496		90.6		100.7		0.02		3.69		3.68		0.01		0.785		185.5		
