Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		7.4		-170.2		0.02		0.03		0.02		3.69		0.000		-0.4		
0.098		16.9		-173.3		0.01		0.02		0.02		3.69		0.004		-1.3		
0.195		25.6		-176.8		0.01		0.02		0.02		3.69		-0.002		0.4		
0.293		30.4		-180.3		0.01		0.02		0.02		3.68		0.004		0.4		
0.391		37.3		-181.2		0.01		0.02		0.02		3.69		0.008		1.7		
0.488		46.4		-182.9		0.01		0.02		0.02		3.69		0.006		-3.5		
0.586		47.7		-184.7		0.01		0.02		0.02		3.69		0.000		-1.3		
0.684		51.6		-186.4		0.01		0.02		0.02		3.68		0.006		0.0		
0.781		58.1		-189.1		0.01		0.02		0.02		3.69		0.004		0.0		
0.879		65.5		-188.2		0.02		0.02		0.02		3.69		0.013		-0.9		
0.977		69.8		-189.5		0.01		0.02		0.02		3.68		0.000		-1.3		
1.074		77.6		-186.9		0.02		0.02		0.02		0.02		0.455		103.1		
1.172		80.7		-191.7		0.02		0.02		0.02		0.02		0.478		105.7		
1.270		87.6		-193.0		0.02		0.02		0.02		0.02		0.461		103.6		
1.367		91.1		-195.2		0.02		0.02		0.02		0.02		0.455		99.7		
1.465		92.8		-194.3		0.02		0.02		0.02		0.02		0.425		97.1		
1.563		98.4		-192.1		0.02		0.02		0.02		0.02		0.408		91.0		
1.660		106.7		-194.7		0.02		0.02		0.02		0.02		0.391		89.3		
1.758		108.0		-193.0		0.02		0.02		0.02		0.02		0.368		82.8		
1.855		113.2		-196.1		0.02		0.02		0.02		0.02		0.347		78.9		
1.953		114.5		-193.9		0.02		0.02		0.02		0.02		0.334		75.8		
2.051		117.9		-194.3		0.02		0.02		0.02		0.02		0.315		72.8		
2.148		124.4		-195.6		0.02		0.02		0.02		0.02		0.309		70.2		
2.246		127.5		-195.6		0.02		0.03		0.02		0.02		0.298		65.4		
2.344		129.2		-192.1		0.02		0.02		0.02		0.02		0.264		58.5		
2.441		134.4		-192.6		0.02		0.02		0.02		0.02		0.250		55.0		
2.539		140.1		-189.5		0.02		0.02		0.02		0.02		0.212		46.8		
2.637		145.3		-187.3		0.02		0.02		0.02		0.02		0.190		40.7		
2.734		150.0		-184.2		0.02		0.02		0.02		0.02		0.137		32.9		
2.832		151.8		-182.1		0.02		0.02		0.02		0.02		0.123		24.7		
2.930		158.3		-178.6		0.02		0.02		0.02		0.02		0.099		21.2		
3.027		162.2		-172.0		0.02		0.02		0.02		0.02		0.053		13.4		
3.125		163.0		-172.9		0.02		0.02		0.02		0.02		0.034		7.4		
3.223		166.5		-168.5		0.02		0.02		0.02		0.02		0.004		0.4		
3.320		170.0		-161.5		0.02		0.02		0.02		0.02		-0.002		0.0		
3.418		172.1		-156.7		0.02		0.02		0.02		0.02		-0.002		-0.9		
3.516		179.5		-152.3		0.02		0.01		0.02		0.02		-0.017		-2.6		
3.613		178.6		-150.5		0.02		0.01		0.01		0.02		-0.019		-0.9		
3.711		181.2		-144.4		0.02		0.01		0.01		0.02		-0.019		-1.7		
3.809		183.4		-140.9		0.02		0.01		0.02		0.01		-0.011		-1.3		
3.906		187.3		-137.9		0.02		0.02		0.02		0.01		-0.006		0.4		
4.004		185.6		-132.6		0.02		0.01		0.02		0.02		-0.015		0.0		
4.102		189.9		-131.7		0.02		0.03		0.02		0.02		-0.006		-1.3		
4.199		186.4		-125.2		0.02		0.01		0.01		0.02		-0.017		-3.0		
4.297		192.5		-119.9		0.02		0.01		0.02		0.02		-0.017		-2.6		
4.395		179.5		-102.4		3.68		0.02		0.01		0.02		0.400		94.5		
4.492		187.8		-110.7		3.68		0.02		0.01		0.02		0.474		104.9		
4.590		191.2		-107.2		3.68		0.02		0.01		0.02		0.442		101.4		
4.688		196.0		-102.8		3.68		0.02		0.01		0.02		0.434		98.4		
4.785		194.7		-97.6		3.68		0.02		0.01		0.02		0.419		96.6		
4.883		193.8		-94.1		3.68		0.02		0.01		0.02		0.408		91.9		
4.980		196.0		-91.5		3.68		0.02		0.01		0.02		0.398		88.8		
5.078		193.0		-85.3		3.69		0.02		0.01		0.02		0.385		86.2		
5.176		192.5		-83.2		3.68		0.02		0.01		0.02		0.360		79.7		
5.273		197.3		-78.8		3.68		0.02		0.01		0.02		0.341		74.1		
5.371		194.3		-72.6		3.68		0.02		0.01		0.02		0.315		71.9		
5.469		194.7		-68.3		3.68		0.02		0.01		0.02		0.298		68.0		
5.566		193.4		-66.5		3.69		0.02		0.01		0.02		0.292		66.7		
5.664		193.0		-62.1		3.69		0.03		0.01		0.02		0.271		57.6		
5.762		192.5		-56.0		3.68		0.02		0.01		0.02		0.241		52.4		
5.859		190.4		-48.6		3.69		0.03		0.01		0.02		0.214		45.9		
5.957		189.5		-39.4		3.68		0.03		0.01		0.02		0.176		39.4		
6.055		186.0		-34.1		3.68		0.02		0.01		0.02		0.161		34.7		
6.152		177.8		-27.1		3.69		0.03		0.02		0.02		0.121		26.4		
6.250		181.2		-23.2		3.69		0.03		0.01		0.02		0.085		20.8		
6.348		177.8		-14.9		3.68		0.03		0.01		0.02		0.068		16.5		
6.445		173.9		-10.1		3.69		0.03		0.01		0.02		0.032		8.2		
6.543		169.5		-1.8		3.69		0.03		0.01		0.02		0.000		0.0		
6.641		162.6		5.3		3.68		0.01		0.01		0.02		-0.013		0.9		
6.738		157.8		14.9		3.69		0.03		0.02		0.02		0.000		-1.7		
6.836		153.1		21.0		3.69		0.03		0.01		0.02		0.004		-3.5		
6.934		149.6		31.1		3.69		0.03		0.02		0.02		0.002		-0.4		
7.031		146.1		39.4		3.69		0.03		0.02		0.02		0.006		0.4		
7.129		143.5		42.9		3.69		0.03		0.02		0.02		0.004		1.3		
7.227		140.1		48.6		3.69		0.03		0.02		0.02		0.006		0.9		
7.324		135.7		53.8		3.69		0.03		0.02		0.02		0.008		0.4		
7.422		127.9		59.1		3.69		0.03		0.01		0.02		0.011		1.7		
7.520		125.3		65.2		3.69		0.03		0.02		0.02		-0.002		0.9		
7.617		121.8		68.3		3.69		0.03		0.01		0.02		-0.002		3.5		
7.715		82.0		93.7		3.69		3.69		0.02		0.02		0.338		77.6		
7.813		111.9		81.0		3.69		3.69		0.02		0.02		0.467		105.3		
7.910		107.5		88.4		3.69		3.69		0.02		0.02		0.472		103.6		
8.008		105.4		90.6		3.69		3.69		0.01		0.01		0.434		100.5		
8.105		101.0		96.7		3.69		3.69		0.01		0.02		0.436		94.9		
8.203		94.1		100.2		3.69		3.69		0.01		0.02		0.421		96.2		
8.301		93.2		105.5		3.69		3.69		0.01		0.01		0.385		88.0		
8.398		88.5		107.7		3.68		3.69		0.01		0.01		0.370		88.0		
8.496		87.2		114.2		3.69		3.69		0.01		0.01		0.364		82.3		
