Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		7.4		-173.3		0.02		0.02		3.68		3.69		0.772		-179.8		
0.098		17.8		-174.6		0.01		0.02		3.68		3.69		0.732		-183.3		
0.195		25.6		-182.1		0.01		0.02		3.68		3.68		0.700		-185.0		
0.293		33.0		-181.2		0.01		0.02		3.68		3.68		0.654		-188.1		
0.391		35.6		-186.9		0.01		0.02		3.68		3.68		0.620		-188.1		
0.488		96.3		-143.1		0.01		0.03		0.01		3.68		0.607		-108.3		
0.586		54.6		-190.8		0.02		0.02		0.02		3.68		0.677		-64.6		
0.684		61.6		-191.2		0.01		0.02		0.02		3.68		0.755		-66.7		
0.781		61.6		-193.9		0.01		0.02		0.02		3.68		0.795		-72.8		
0.879		70.2		-195.2		0.02		0.02		0.01		3.68		0.846		-81.0		
0.977		75.4		-196.5		0.01		0.02		0.02		3.69		0.886		-81.9		
1.074		81.5		-196.5		0.01		0.02		0.01		3.68		0.924		-88.0		
1.172		86.3		-196.1		0.02		0.02		0.02		3.68		0.965		-96.2		
1.270		92.4		-198.2		0.02		0.02		0.02		3.68		0.986		-98.8		
1.367		95.0		-198.7		0.01		0.02		0.02		3.68		1.020		-103.6		
1.465		101.9		-199.1		0.02		0.02		0.02		3.68		1.034		-107.0		
1.563		106.2		-200.4		0.01		0.02		0.02		3.68		1.053		-113.1		
1.660		111.9		-199.6		0.01		0.02		0.02		3.68		1.072		-117.4		
1.758		115.3		-202.2		0.02		0.02		0.02		3.68		1.106		-120.5		
1.855		122.7		-202.2		0.02		0.02		0.02		3.68		1.102		-125.7		
1.953		121.0		-200.9		0.01		0.02		0.01		3.68		1.113		-131.3		
2.051		128.8		-199.1		0.02		0.02		0.02		3.69		1.087		-134.3		
2.148		129.2		-200.9		0.01		0.02		0.02		3.68		1.077		-138.2		
2.246		130.5		-197.8		0.01		0.02		0.02		3.69		1.081		-140.8		
2.344		133.1		-197.8		0.01		0.02		0.02		3.68		1.047		-146.0		
2.441		140.1		-196.1		0.01		0.02		0.02		3.68		1.020		-147.3		
2.539		144.8		-193.4		0.01		0.02		0.02		3.68		1.003		-151.2		
2.637		151.3		-193.0		0.02		0.02		0.02		3.68		0.990		-156.0		
2.734		154.8		-189.5		0.01		0.02		0.02		3.68		0.962		-160.3		
2.832		156.1		-184.2		0.01		0.02		0.02		3.68		0.939		-163.4		
2.930		162.2		-182.1		0.01		0.02		0.02		3.68		0.916		-167.7		
3.027		165.2		-175.9		0.01		0.02		0.02		3.68		0.891		-171.2		
3.125		167.8		-174.6		0.01		0.02		0.02		3.68		0.874		-175.1		
3.223		170.8		-165.4		0.01		0.02		0.02		3.68		0.831		-178.1		
3.320		172.6		-165.0		0.01		0.02		0.02		3.68		0.789		-181.1		
3.418		176.9		-160.2		0.01		0.02		0.02		3.68		0.730		-182.0		
3.516		179.5		-154.9		0.01		0.02		0.02		3.69		0.687		-182.9		
3.613		179.9		-154.9		0.01		0.02		0.02		3.68		0.645		-185.0		
3.711		183.8		-147.0		0.01		0.02		0.02		3.68		0.582		-186.8		
3.809		131.8		-17.9		0.02		0.02		0.02		0.02		0.563		-113.5		
3.906		200.3		-132.6		0.02		0.02		0.01		0.02		0.647		-63.3		
4.004		190.4		-130.9		0.02		0.02		0.02		0.02		0.734		-64.1		
4.102		192.5		-126.5		0.02		0.02		0.02		0.02		0.766		-70.2		
4.199		191.7		-123.9		0.02		0.02		0.02		0.02		0.844		-78.4		
4.297		193.8		-118.6		0.02		0.02		0.01		0.02		0.882		-81.9		
4.395		196.4		-111.6		0.02		0.02		0.02		0.02		0.933		-89.3		
4.492		199.5		-111.2		0.02		0.02		0.02		0.02		0.965		-92.3		
4.590		199.5		-107.7		0.02		0.02		0.02		0.02		0.986		-97.9		
4.688		199.5		-100.2		0.02		0.02		0.02		0.02		1.001		-105.7		
4.785		199.0		-98.9		0.02		0.02		0.02		0.02		1.024		-109.2		
4.883		200.3		-94.5		0.02		0.02		0.02		0.02		1.043		-116.1		
4.980		201.2		-89.3		0.02		0.02		0.02		0.02		1.064		-115.3		
5.078		201.2		-84.9		0.02		0.02		0.02		0.02		1.075		-121.3		
5.176		203.8		-87.5		0.02		0.02		0.02		0.02		1.094		-125.7		
5.273		200.8		-77.0		0.02		0.02		0.02		0.02		1.089		-129.1		
5.371		198.2		-74.8		0.02		0.02		0.02		0.02		1.091		-131.7		
5.469		200.3		-70.5		0.02		0.02		0.02		0.02		1.094		-135.2		
5.566		198.6		-65.2		0.02		0.03		0.02		0.02		1.089		-136.9		
5.664		196.4		-61.3		0.02		0.02		0.02		0.02		1.075		-143.0		
5.762		196.4		-56.5		0.02		0.02		0.02		0.02		1.049		-146.0		
5.859		192.5		-48.6		0.02		0.02		0.02		0.02		1.022		-152.1		
5.957		190.8		-43.3		0.02		0.02		0.02		0.02		1.011		-155.1		
6.055		189.9		-37.2		0.02		0.02		0.02		0.02		0.962		-159.5		
6.152		183.0		-29.8		0.02		0.02		0.02		0.02		0.948		-161.2		
6.250		184.3		-20.1		0.02		0.02		0.02		0.02		0.916		-166.8		
6.348		179.9		-16.2		0.02		0.02		0.02		0.02		0.886		-171.2		
6.445		174.7		-10.5		0.02		0.02		0.02		0.02		0.859		-172.5		
6.543		171.7		0.9		0.02		0.02		0.02		0.02		0.810		-175.5		
6.641		167.8		6.1		0.02		0.03		0.02		0.02		0.787		-179.4		
6.738		159.6		14.4		0.02		0.02		0.02		0.02		0.762		-182.4		
6.836		157.8		22.3		0.02		0.03		0.02		0.02		0.713		-183.7		
6.934		153.5		30.6		0.02		0.02		0.02		0.02		0.658		-186.3		
7.031		151.3		33.3		0.02		0.03		0.02		0.02		0.622		-188.5		
7.129		144.4		41.6		3.69		0.03		0.02		0.02		0.577		-187.2		
7.227		133.6		47.7		3.69		0.03		0.02		0.02		0.658		-59.4		
7.324		128.3		61.7		3.68		0.03		0.01		0.02		0.730		-66.3		
7.422		127.9		63.5		3.69		0.02		0.02		0.02		0.791		-70.2		
7.520		125.3		70.0		3.68		0.03		0.02		0.02		0.842		-75.0		
7.617		117.5		77.9		3.69		0.02		0.01		0.02		0.869		-79.3		
7.715		115.3		80.1		3.69		0.03		0.02		0.02		0.931		-86.7		
7.813		112.3		83.6		3.68		0.02		0.01		0.02		0.971		-92.3		
7.910		110.1		90.2		3.69		0.02		0.01		0.02		0.998		-97.1		
8.008		105.4		98.0		3.68		0.02		0.02		0.02		1.020		-101.0		
8.105		102.3		101.5		3.68		0.02		0.01		0.02		1.041		-108.8		
8.203		95.4		103.3		3.68		0.02		0.01		0.02		1.068		-110.1		
8.301		96.7		106.8		3.69		0.02		0.02		0.02		1.075		-115.3		
