Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI1		AI2		AI3		AI4		AI5		AI6		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		
0.000		0.4		-161.5		0.01		0.02		3.69		3.69		0.01		0.02		
0.098		5.6		-161.1		0.01		0.01		3.69		0.02		3.69		0.01		
0.195		6.5		-164.6		0.01		0.02		3.70		0.02		3.69		0.01		
0.293		30.4		-166.3		0.01		0.02		3.69		0.02		3.69		0.01		
0.391		25.1		-170.7		0.01		0.02		3.69		0.02		3.69		0.01		
0.488		32.1		-173.3		0.01		0.01		3.70		0.02		3.69		0.01		
0.586		39.0		-177.7		0.01		0.02		3.69		0.02		3.69		0.01		
0.684		44.7		-181.2		0.01		0.02		3.69		0.02		3.69		0.01		
0.781		49.9		-181.6		0.01		0.02		3.70		0.02		3.69		0.01		
0.879		54.2		-181.2		0.01		0.02		3.69		0.02		3.69		0.01		
0.977		59.4		-181.6		0.01		0.02		3.69		0.02		3.69		0.01		
1.074		66.3		-182.9		0.01		0.01		3.70		0.02		3.69		0.01		
1.172		69.8		-185.6		0.01		0.02		3.69		0.02		3.69		0.01		
1.270		75.4		-183.4		0.01		0.02		3.69		0.02		3.69		0.01		
1.367		82.0		-184.7		0.01		0.02		3.70		0.02		3.69		0.01		
1.465		84.6		-187.7		0.01		0.02		3.69		0.02		3.69		0.01		
1.563		88.0		-187.3		0.01		0.02		3.69		0.02		3.69		0.01		
1.660		94.1		-189.9		0.01		0.02		3.70		0.02		3.69		0.01		
1.758		96.7		-188.6		0.01		0.01		3.69		0.02		3.69		0.01		
1.855		106.2		-189.9		0.01		0.02		3.69		0.02		3.69		0.01		
1.953		107.1		-187.3		0.01		0.02		3.70		0.02		3.69		0.01		
2.051		112.3		-191.2		0.01		0.02		3.69		0.01		3.69		0.01		
2.148		115.3		-189.9		0.01		0.02		3.69		0.02		3.69		0.01		
2.246		118.4		-190.4		0.01		0.02		3.70		0.02		3.69		0.01		
2.344		119.2		-188.2		0.01		0.02		3.69		0.02		3.69		0.01		
2.441		126.2		-189.1		0.01		0.02		3.69		0.02		3.69		0.01		
2.539		129.2		-186.9		0.01		0.01		3.70		0.02		3.69		0.01		
2.637		136.2		-184.2		0.01		0.02		3.69		0.02		3.69		0.01		
2.734		138.3		-181.2		0.01		0.02		3.69		0.02		3.69		0.01		
2.832		143.1		-179.4		0.01		0.01		3.70		0.01		3.69		0.01		
2.930		149.2		-175.5		0.01		0.01		3.69		0.01		3.69		0.01		
3.027		152.2		-175.9		0.01		0.01		3.69		0.02		3.69		0.01		
3.125		156.5		-170.2		0.01		0.02		3.70		0.01		3.69		0.01		
3.223		161.3		-166.3		0.01		0.02		3.69		0.02		3.69		0.01		
3.320		164.3		-163.2		0.01		0.02		3.69		0.02		3.69		0.01		
3.418		164.3		-160.6		3.69		0.01		0.02		0.02		3.69		0.01		
3.516		163.5		-161.1		3.69		0.01		0.02		0.02		3.69		0.01		
3.613		166.1		-153.2		3.69		0.01		0.01		0.02		3.69		0.01		
3.711		171.3		-144.9		3.68		0.01		0.02		0.02		3.69		0.01		
3.809		176.0		-141.4		3.68		0.01		0.02		0.02		3.69		0.01		
3.906		177.8		-137.4		3.68		0.01		0.02		0.02		3.69		0.01		
4.004		179.5		-133.0		3.68		0.01		0.02		0.02		3.69		0.01		
4.102		177.8		-133.0		3.68		0.01		0.02		0.02		3.69		0.01		
4.199		183.0		-126.5		3.68		0.01		0.01		0.02		3.69		0.01		
4.297		183.4		-121.7		3.68		0.01		0.02		0.02		3.69		0.01		
4.395		185.1		-118.2		3.68		0.01		0.02		0.02		3.69		0.01		
4.492		185.6		-114.7		3.68		0.01		0.01		0.02		3.69		0.01		
4.590		184.7		-110.3		3.68		0.01		0.02		0.02		3.69		0.01		
4.688		189.9		-106.3		3.68		0.01		0.02		0.02		3.69		0.01		
4.785		190.4		-103.3		3.68		0.02		0.02		0.02		3.69		0.01		
4.883		189.1		-96.7		3.68		0.01		0.02		0.02		3.69		0.01		
4.980		190.8		-97.2		3.68		0.01		0.02		0.02		3.69		0.01		
5.078		192.1		-91.0		3.68		0.01		0.01		0.02		3.69		0.01		
5.176		191.2		-86.2		3.68		0.01		0.02		0.02		3.69		0.01		
5.273		192.1		-84.0		3.68		0.01		0.02		0.02		3.69		0.01		
5.371		186.9		-77.0		3.68		0.01		0.02		0.02		3.69		0.01		
5.469		190.4		-76.6		3.68		0.01		0.02		0.02		3.69		0.01		
5.566		189.1		-71.8		3.68		0.01		0.02		0.02		3.69		0.01		
5.664		189.1		-67.4		3.68		0.01		0.02		0.02		3.69		0.01		
5.762		188.6		-62.6		3.68		0.01		0.02		0.02		3.69		0.01		
5.859		186.9		-56.5		3.68		0.01		0.02		0.02		3.69		0.01		
5.957		182.5		-52.5		3.69		0.01		0.02		0.02		3.69		0.01		
6.055		185.6		-39.8		3.68		0.01		0.02		0.02		3.69		0.01		
6.152		178.6		-34.6		3.68		0.01		0.02		0.02		3.69		0.02		
6.250		176.5		-30.6		3.68		0.01		0.01		0.02		3.69		0.01		
6.348		174.7		-20.6		3.68		0.01		0.02		0.02		3.69		0.01		
6.445		172.6		-15.3		3.68		0.02		0.02		0.03		3.69		0.01		
6.543		166.9		-7.4		3.68		0.02		0.02		0.02		3.69		0.01		
6.641		167.8		-0.9		3.68		0.02		0.02		0.02		3.69		0.01		
6.738		161.3		1.8		3.70		0.02		0.02		0.02		0.02		3.69		
6.836		163.0		5.3		3.70		0.01		0.02		0.03		0.02		3.69		
6.934		158.3		8.3		3.70		0.02		0.03		0.02		0.02		3.69		
7.031		150.0		26.7		3.70		0.02		0.02		0.02		0.02		3.69		
7.129		146.6		29.8		3.70		0.02		0.02		0.02		0.02		3.69		
7.227		139.2		38.1		3.70		0.02		0.03		0.03		0.02		3.69		
7.324		133.6		40.7		3.70		0.02		0.02		0.02		0.02		3.69		
7.422		130.1		50.3		3.70		0.02		0.02		0.03		0.02		3.69		
7.520		129.2		53.8		3.70		0.02		0.03		0.02		0.02		3.69		
7.617		124.4		60.4		3.70		0.01		0.02		0.02		0.02		3.69		
7.715		121.8		62.6		3.70		0.02		0.02		0.03		0.02		3.69		
7.813		117.9		70.0		3.70		0.01		0.03		0.02		0.02		3.69		
7.910		113.6		73.5		3.70		0.02		0.02		0.02		0.02		3.69		
8.008		111.9		77.9		3.70		0.01		0.02		0.03		0.02		3.69		
8.105		104.9		84.0		3.69		0.01		0.02		0.02		0.02		3.69		
8.203		103.6		90.2		3.69		0.01		0.02		0.02		0.02		3.69		
8.301		96.7		94.5		3.69		0.01		0.02		0.02		0.02		3.68		
8.398		94.1		97.2		3.69		0.01		0.02		0.02		0.02		3.69		
8.496		90.6		102.4		3.69		0.01		0.02		0.02		0.02		3.69		
8.594		87.6		104.6		3.69		0.01		0.01		0.02		0.02		3.68		
