Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E3		AI1		AI2		AI3		AI4		AI5		AI6		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		
0.000		8.7		142.6		0.02		0.02		3.70		3.69		0.01		0.02		
0.098		15.6		151.2		0.02		0.02		3.69		3.69		0.01		0.02		
0.195		20.8		146.9		0.02		0.02		3.69		3.69		0.01		0.02		
0.293		28.6		143.9		0.02		0.02		3.69		3.69		0.01		0.02		
0.391		34.7		139.5		0.02		0.02		3.69		3.69		0.01		0.02		
0.488		40.3		134.8		0.02		0.02		3.69		3.69		0.01		0.01		
0.586		48.6		130.0		0.02		0.02		3.70		3.69		0.01		0.02		
0.684		51.2		128.3		0.02		0.02		3.69		3.69		0.02		0.01		
0.781		56.4		126.1		0.02		0.02		3.69		3.69		0.01		0.01		
0.879		66.3		119.6		0.02		0.02		3.69		3.68		0.01		0.02		
0.977		65.0		114.8		0.02		0.02		3.69		3.69		0.01		0.02		
1.074		74.1		114.4		0.02		0.02		3.69		3.69		0.01		0.01		
1.172		77.6		110.5		0.02		0.02		3.70		3.69		0.01		0.02		
1.270		81.5		108.8		0.02		0.02		3.69		3.69		0.01		0.01		
1.367		88.9		103.6		0.02		0.02		3.69		3.69		0.02		0.02		
1.465		91.5		101.0		0.02		0.02		3.69		3.69		0.01		0.02		
1.563		96.3		94.9		0.02		0.02		3.69		3.69		0.01		0.02		
1.660		102.8		91.4		0.02		0.01		3.68		3.69		0.01		0.02		
1.758		102.8		87.1		0.02		0.02		3.69		3.69		0.01		0.02		
1.855		111.9		81.9		0.02		0.02		3.69		3.69		0.01		0.01		
1.953		116.2		78.0		0.02		0.02		3.69		3.69		0.02		0.01		
2.051		119.7		73.7		0.02		0.02		3.70		3.69		0.01		0.02		
2.148		122.7		70.2		0.02		0.02		3.69		3.69		0.01		0.02		
2.246		126.2		67.2		0.02		0.02		3.69		3.69		0.01		0.02		
2.344		130.5		62.4		0.02		0.02		3.70		3.69		0.01		0.02		
2.441		133.1		56.3		0.02		0.02		3.69		3.69		0.01		0.02		
2.539		137.5		51.6		0.02		0.02		3.69		3.69		0.01		0.01		
2.637		141.8		46.8		0.02		0.02		3.69		3.69		0.01		0.02		
2.734		143.1		34.7		0.02		0.01		3.69		3.69		0.01		0.01		
2.832		149.6		28.6		0.02		0.02		3.69		3.69		0.01		0.01		
2.930		154.8		22.1		0.02		0.01		3.69		3.69		0.01		0.01		
3.027		157.4		17.8		0.02		0.02		3.69		3.69		0.01		0.01		
3.125		161.3		8.7		0.02		0.02		3.69		3.69		0.01		0.02		
3.223		166.5		3.0		0.02		0.02		3.70		3.69		0.01		0.01		
3.320		150.9		131.3		0.02		0.02		3.69		0.02		3.69		0.01		
3.418		168.2		149.1		0.02		0.02		3.69		0.02		3.69		0.01		
3.516		172.1		147.8		0.02		0.02		3.69		0.02		3.68		0.01		
3.613		172.1		145.6		0.02		0.02		3.69		0.02		3.69		0.01		
3.711		179.9		140.4		0.02		0.02		3.69		0.02		3.69		0.01		
3.809		180.4		136.1		0.02		0.02		3.69		0.02		3.69		0.01		
3.906		183.0		133.5		0.02		0.02		3.69		0.02		3.69		0.01		
4.004		186.4		127.8		0.02		0.02		3.69		0.02		3.69		0.01		
4.102		185.1		123.9		0.02		0.02		3.69		0.02		3.68		0.01		
4.199		183.8		120.5		0.02		0.02		3.69		0.02		3.69		0.01		
4.297		191.2		117.4		0.02		0.02		3.68		0.02		3.69		0.01		
4.395		189.5		113.1		0.02		0.02		3.70		0.02		3.69		0.01		
4.492		190.8		110.1		0.02		0.02		3.69		0.02		3.69		0.01		
4.590		193.0		108.3		0.02		0.02		3.68		0.02		3.69		0.01		
4.688		189.9		100.1		0.02		0.02		3.70		0.02		3.69		0.01		
4.785		191.7		98.4		0.02		0.02		3.69		0.02		3.69		0.01		
4.883		194.7		95.8		0.02		0.02		3.69		0.02		3.69		0.01		
4.980		195.6		89.7		0.02		0.02		3.70		0.02		3.69		0.01		
5.078		193.8		85.4		0.02		0.02		3.69		0.01		3.69		0.01		
5.176		195.6		85.8		0.02		0.02		3.69		0.02		3.69		0.01		
5.273		197.7		75.8		0.02		0.02		3.70		0.02		3.69		0.01		
5.371		194.7		73.7		0.02		0.02		3.69		0.02		3.69		0.01		
5.469		195.1		71.1		0.02		0.02		3.69		0.02		3.69		0.01		
5.566		195.6		68.0		0.02		0.02		3.70		0.02		3.69		0.01		
5.664		194.7		60.7		0.02		0.02		3.69		0.02		3.69		0.01		
5.762		192.5		58.5		0.02		0.02		3.69		0.02		3.69		0.01		
5.859		191.7		53.7		0.02		0.02		3.70		0.02		3.69		0.01		
5.957		186.9		45.1		0.03		0.02		3.69		0.02		3.69		0.01		
6.055		183.0		36.4		0.02		0.02		3.69		0.02		3.69		0.02		
6.152		185.1		31.6		0.02		0.02		3.69		0.02		3.69		0.01		
6.250		183.0		24.3		0.03		0.02		3.69		0.02		3.69		0.01		
6.348		177.3		19.1		0.02		0.02		3.69		0.02		3.69		0.01		
6.445		178.2		10.4		0.02		0.02		3.70		0.02		3.69		0.01		
6.543		172.1		7.4		0.03		0.02		3.69		0.02		3.69		0.01		
6.641		110.1		97.5		3.69		0.02		0.02		0.02		3.69		0.01		
6.738		158.7		152.1		3.69		0.02		0.03		0.02		3.69		0.01		
6.836		152.6		149.1		3.69		0.02		0.02		0.03		3.69		0.01		
6.934		147.9		145.6		3.69		0.02		0.02		0.02		3.69		0.02		
