Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		30.8		-169.8		0.02		0.02		0.02		0.02		0.664		160.3		
0.098		13.0		-165.4		0.02		0.02		0.02		0.02		0.728		146.0		
0.195		26.4		-168.9		0.02		0.02		0.02		0.02		0.770		140.8		
0.293		29.9		-171.1		0.02		0.02		0.02		0.02		0.812		134.3		
0.391		37.7		-175.1		0.02		0.02		0.02		0.02		0.852		130.9		
0.488		45.1		-178.1		0.02		0.02		0.02		0.02		0.895		127.4		
0.586		49.0		-180.7		0.02		0.02		0.02		0.02		0.954		123.5		
0.684		54.2		-178.1		0.02		0.02		0.02		0.02		0.973		120.9		
0.781		62.9		-184.7		0.02		0.02		0.02		0.02		1.034		114.4		
0.879		64.6		-182.5		0.02		0.02		0.02		0.02		1.058		114.0		
0.977		71.1		-187.3		0.02		0.02		0.02		0.02		1.094		107.5		
1.074		77.6		-186.0		0.02		0.02		0.02		0.02		1.108		102.7		
1.172		80.7		-187.3		0.02		0.02		0.02		0.02		1.123		99.7		
1.270		87.6		-187.3		0.02		0.02		0.02		0.02		1.134		93.6		
1.367		91.5		-191.2		0.02		0.02		0.02		0.02		1.149		91.0		
1.465		93.2		-189.1		0.02		0.02		0.02		0.02		1.138		87.5		
1.563		97.1		-191.2		0.02		0.02		0.01		0.02		1.142		86.7		
1.660		104.5		-191.2		0.02		0.02		0.02		0.02		1.121		80.2		
1.758		105.4		-193.9		0.02		0.02		0.02		0.02		1.108		78.4		
1.855		112.3		-192.1		0.02		0.02		0.02		0.02		1.091		71.9		
1.953		117.9		-192.1		0.02		0.02		0.02		0.02		1.091		68.0		
2.051		118.4		-192.6		0.02		0.02		0.02		0.02		1.096		65.0		
2.148		122.3		-193.4		0.02		0.02		0.02		0.02		1.081		61.5		
2.246		123.6		-188.2		0.02		0.02		0.02		0.02		1.053		57.2		
2.344		131.4		-193.4		0.02		0.02		0.02		0.02		1.066		53.7		
2.441		135.3		-188.6		0.02		0.02		0.02		0.02		1.030		50.3		
2.539		139.6		-186.4		0.02		0.02		0.02		0.02		0.996		43.8		
2.637		143.1		-186.4		0.02		0.02		0.02		0.02		0.943		34.2		
2.734		146.1		-178.6		0.02		0.02		0.02		0.02		0.910		29.5		
2.832		151.8		-180.7		0.02		0.02		0.02		0.02		0.838		22.5		
2.930		154.4		-176.8		0.02		0.02		0.02		0.02		0.778		18.2		
3.027		160.9		-175.1		0.02		0.02		0.02		0.02		0.707		12.6		
3.125		163.5		-166.7		0.02		0.02		0.02		0.02		0.639		3.9		
3.223		165.6		-166.7		0.02		0.02		0.02		0.02		0.569		-1.7		
3.320		133.1		-160.2		3.68		0.02		0.01		0.02		0.626		140.0		
3.418		162.2		-152.3		3.68		0.02		0.01		0.02		0.704		145.6		
3.516		169.1		-144.4		3.68		0.02		0.01		0.02		0.776		141.7		
3.613		172.1		-144.0		3.68		0.02		0.01		0.02		0.848		136.5		
3.711		175.2		-138.7		3.68		0.02		0.01		0.02		0.912		131.7		
3.809		176.5		-136.5		3.68		0.02		0.01		0.02		0.939		129.1		
3.906		179.1		-133.9		3.68		0.02		0.01		0.02		0.971		125.2		
4.004		179.9		-126.0		3.68		0.02		0.02		0.02		1.005		120.9		
4.102		183.0		-125.2		3.68		0.02		0.01		0.02		1.011		114.0		
4.199		186.9		-117.3		3.68		0.02		0.01		0.02		1.036		112.2		
4.297		184.7		-113.8		3.68		0.02		0.01		0.02		1.041		109.2		
4.395		186.9		-111.2		3.68		0.02		0.01		0.02		1.064		105.3		
4.492		191.7		-105.0		3.68		0.02		0.01		0.02		1.060		102.3		
4.590		186.9		-101.5		3.68		0.02		0.01		0.02		1.108		95.3		
4.688		189.9		-98.9		3.68		0.02		0.01		0.02		1.106		92.3		
4.785		189.9		-97.2		3.68		0.02		0.01		0.02		1.140		87.5		
4.883		188.2		-91.9		3.68		0.02		0.01		0.02		1.149		85.8		
4.980		190.8		-88.4		3.68		0.02		0.01		0.02		1.168		81.9		
5.078		192.1		-82.7		3.68		0.02		0.01		0.02		1.159		75.0		
5.176		194.3		-79.6		3.68		0.02		0.02		0.02		1.149		73.2		
5.273		193.4		-76.1		3.69		0.02		0.01		0.02		1.138		73.2		
5.371		195.1		-73.1		3.68		0.02		0.01		0.02		1.108		67.6		
5.469		193.0		-69.1		3.68		0.02		0.01		0.02		1.070		64.1		
5.566		192.1		-68.7		3.69		0.02		0.01		0.02		1.034		60.7		
5.664		188.2		-61.3		3.69		0.02		0.01		0.02		1.013		56.3		
5.762		192.5		-54.3		3.68		0.02		0.01		0.02		0.977		48.5		
5.859		186.9		-47.3		3.68		0.02		0.01		0.02		0.948		43.3		
5.957		183.4		-43.3		3.69		0.02		0.01		0.02		0.912		38.6		
6.055		181.2		-34.6		3.68		0.02		0.01		0.02		0.880		28.2		
6.152		179.1		-27.6		3.69		0.02		0.02		0.02		0.859		23.8		
6.250		181.2		-21.4		3.68		0.02		0.01		0.02		0.795		18.6		
6.348		177.3		-17.5		3.69		0.02		0.01		0.02		0.768		12.1		
6.445		170.4		-6.6		3.69		0.02		0.01		0.02		0.709		7.8		
6.543		169.5		-1.8		3.68		0.03		0.01		0.02		0.641		-3.5		
6.641		127.0		38.5		3.68		3.69		0.01		0.01		0.687		157.7		
6.738		150.0		20.1		3.69		3.69		0.01		0.01		0.738		146.5		
6.836		145.7		20.6		3.69		3.69		0.02		0.02		0.795		142.6		
6.934		145.7		29.3		3.69		3.69		0.01		0.02		0.838		140.0		
7.031		140.5		35.4		3.69		3.69		0.02		0.02		0.852		134.8		
7.129		133.6		42.5		3.69		3.69		0.02		0.01		0.907		129.1		
7.227		132.2		47.7		3.69		3.69		0.02		0.02		0.922		124.8		
7.324		127.9		56.5		3.69		3.69		0.02		0.02		0.960		119.2		
7.422		121.0		61.3		3.69		3.69		0.02		0.02		0.990		117.0		
7.520		119.2		65.6		3.69		3.69		0.02		0.02		1.020		115.7		
7.617		115.3		71.8		3.69		3.69		0.01		0.02		1.047		107.9		
7.715		111.4		76.6		3.69		3.69		0.02		0.02		1.102		102.7		
7.813		108.8		82.7		3.69		3.69		0.01		0.02		1.130		98.8		
7.910		103.2		84.9		3.69		3.69		0.02		0.02		1.163		97.9		
8.008		101.0		89.3		3.69		3.69		0.02		0.02		1.172		93.2		
8.105		98.0		94.5		3.69		3.69		0.02		0.02		1.178		92.7		
8.203		93.2		98.5		3.69		3.69		0.02		0.02		1.174		88.0		
8.301		88.0		105.5		3.69		3.69		0.01		0.02		1.166		84.5		
8.398		87.2		109.4		3.68		3.69		0.01		0.01		1.151		80.2		
8.496		81.5		111.2		3.69		3.69		0.01		0.01		1.119		76.3		
