Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		4.3		-169.8		0.02		0.02		0.02		3.68		1.282		-14.7		
0.098		14.3		-172.4		0.01		0.02		0.02		3.68		1.240		-20.4		
0.195		21.2		-175.9		0.01		0.02		0.02		3.69		1.221		-26.9		
0.293		28.2		-176.4		0.01		0.02		0.02		3.69		1.172		-35.5		
0.391		31.2		-183.4		0.01		0.02		0.02		3.68		1.144		-44.2		
0.488		40.3		-184.7		0.01		0.02		0.01		3.68		1.104		-47.2		
0.586		47.3		-185.1		0.01		0.02		0.02		3.69		1.072		-55.0		
0.684		48.6		-186.4		0.02		0.02		0.02		3.68		1.028		-60.7		
0.781		56.4		-187.7		0.02		0.02		0.02		3.69		0.981		-62.0		
0.879		62.9		-192.1		0.02		0.02		0.02		3.68		0.943		-64.6		
0.977		67.6		-189.9		0.01		0.02		0.02		3.68		0.895		-70.6		
1.074		69.8		-194.3		0.01		0.02		0.02		3.68		0.857		-75.4		
1.172		76.3		-191.2		0.02		0.02		0.02		3.68		0.781		-81.5		
1.270		79.3		-191.2		0.01		0.02		0.02		3.68		0.730		-85.4		
1.367		82.4		-196.5		0.01		0.02		0.02		3.69		0.658		-89.7		
1.465		89.3		-194.7		0.02		0.02		0.02		3.69		0.582		-92.7		
1.563		94.1		-198.2		0.01		0.02		0.02		3.68		0.516		-96.2		
1.660		158.3		-258.2		0.02		0.02		0.02		0.02		0.510		122.2		
1.758		95.4		-192.6		0.02		0.02		0.02		0.02		0.618		88.0		
1.855		105.4		-193.0		0.02		0.02		0.02		0.02		0.711		80.6		
1.953		114.0		-192.6		0.02		0.02		0.02		0.02		0.791		76.7		
2.051		114.9		-193.0		0.02		0.02		0.02		0.02		0.859		70.2		
2.148		122.3		-190.4		0.02		0.02		0.02		0.02		0.922		65.9		
2.246		125.7		-193.0		0.02		0.02		0.02		0.02		0.975		61.5		
2.344		130.1		-189.1		0.02		0.02		0.02		0.02		1.017		55.9		
2.441		129.6		-190.4		0.02		0.02		0.02		0.02		1.081		52.4		
2.539		134.9		-186.4		0.02		0.02		0.02		0.02		1.132		44.6		
2.637		141.8		-183.8		0.02		0.02		0.02		0.02		1.157		38.1		
2.734		146.1		-181.2		0.02		0.02		0.02		0.02		1.199		30.3		
2.832		151.3		-181.6		0.02		0.02		0.02		0.02		1.227		22.5		
2.930		156.5		-176.8		0.02		0.02		0.01		0.02		1.250		14.3		
3.027		157.4		-175.1		0.02		0.02		0.02		0.02		1.259		10.4		
3.125		163.9		-169.4		0.02		0.02		0.02		0.02		1.267		-1.3		
3.223		166.5		-165.4		0.02		0.02		0.02		0.02		1.267		-6.1		
3.320		170.8		-163.2		0.02		0.02		0.02		0.02		1.256		-14.7		
3.418		170.8		-158.4		0.02		0.02		0.02		0.02		1.250		-19.9		
3.516		174.7		-152.7		0.02		0.02		0.02		0.02		1.214		-26.4		
3.613		174.7		-150.1		0.02		0.02		0.02		0.02		1.193		-32.1		
3.711		178.2		-148.8		0.02		0.02		0.01		0.02		1.163		-42.0		
3.809		183.4		-144.9		0.02		0.02		0.01		0.02		1.130		-48.1		
3.906		186.0		-139.2		0.02		0.02		0.02		0.02		1.075		-55.5		
4.004		187.3		-136.1		0.02		0.02		0.02		0.02		1.043		-55.9		
4.102		191.2		-131.3		0.02		0.02		0.01		0.02		0.986		-65.0		
4.199		192.5		-125.6		0.02		0.02		0.02		0.02		0.937		-66.3		
4.297		193.4		-123.4		0.02		0.02		0.02		0.02		0.897		-71.1		
4.395		193.4		-121.7		0.02		0.02		0.01		0.02		0.827		-75.4		
4.492		195.6		-118.6		0.02		0.02		0.02		0.02		0.781		-78.4		
4.590		194.3		-109.8		0.02		0.02		0.02		0.02		0.730		-84.1		
4.688		194.3		-111.2		0.02		0.02		0.02		0.02		0.647		-86.7		
4.785		194.7		-105.5		0.02		0.02		0.02		0.02		0.586		-91.4		
4.883		194.7		-103.3		0.02		0.02		0.02		0.02		0.516		-96.6		
4.980		134.4		-82.7		3.67		0.02		-0.03		0.00		0.506		105.7		
5.078		196.9		-87.1		3.68		0.02		0.01		0.02		0.611		82.8		
5.176		191.7		-83.6		3.68		0.02		0.01		0.02		0.696		78.9		
5.273		194.7		-81.4		3.69		0.02		0.01		0.02		0.787		74.1		
5.371		192.5		-74.8		3.68		0.02		0.01		0.02		0.838		69.3		
5.469		193.0		-70.0		3.68		0.02		0.01		0.02		0.899		66.7		
5.566		192.1		-67.8		3.68		0.02		0.01		0.02		0.960		60.7		
5.664		189.9		-63.9		3.68		0.02		0.01		0.02		1.009		58.1		
5.762		192.5		-58.2		3.68		0.02		0.02		0.02		1.049		53.7		
5.859		187.3		-53.0		3.68		0.02		0.01		0.02		1.089		44.6		
5.957		186.4		-43.8		3.68		0.02		0.01		0.02		1.134		37.7		
6.055		183.8		-38.1		3.68		0.02		0.01		0.02		1.172		29.9		
6.152		178.6		-28.9		3.68		0.03		0.02		0.02		1.201		18.6		
6.250		176.5		-20.6		3.69		0.02		0.02		0.02		1.237		15.2		
6.348		174.3		-15.8		3.68		0.02		0.01		0.02		1.261		8.7		
6.445		167.8		-10.9		3.69		0.02		0.01		0.02		1.265		1.7		
6.543		168.7		-1.8		3.69		0.02		0.02		0.02		1.276		-6.1		
6.641		164.3		7.9		3.68		0.02		0.01		0.02		1.265		-12.6		
6.738		159.1		11.8		3.69		0.02		0.01		0.02		1.256		-19.9		
6.836		155.7		21.0		3.69		0.02		0.01		0.02		1.218		-25.6		
6.934		153.5		26.7		3.69		0.02		0.02		0.02		1.180		-33.4		
7.031		151.8		35.0		3.69		0.02		0.02		0.02		1.134		-40.7		
7.129		146.1		39.8		3.69		0.02		0.02		0.02		1.117		-46.8		
7.227		142.7		46.4		3.69		0.02		0.02		0.02		1.064		-50.3		
7.324		137.0		51.2		3.69		0.03		0.02		0.02		1.020		-54.6		
7.422		134.4		56.5		3.69		0.02		0.01		0.02		0.990		-61.1		
7.520		130.1		63.9		3.69		0.02		0.02		0.02		0.948		-66.7		
7.617		124.4		67.0		3.69		0.02		0.02		0.02		0.895		-70.6		
7.715		122.7		74.0		3.68		0.02		0.02		0.02		0.855		-77.6		
7.813		121.0		76.1		3.69		0.02		0.02		0.02		0.795		-81.0		
7.910		112.3		81.0		3.69		0.03		0.02		0.02		0.738		-82.8		
8.008		111.9		84.0		3.69		0.02		0.02		0.02		0.664		-85.4		
8.105		107.5		88.8		3.69		0.03		0.02		0.02		0.620		-91.0		
8.203		106.2		91.0		3.69		0.02		0.02		0.02		0.529		-93.6		
8.301		11.7		14.9		3.69		3.69		0.03		0.03		0.493		2.2		
8.398		97.6		92.8		3.68		3.69		0.02		0.02		0.605		87.5		
