Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E3		AI1		AI2		AI3		AI4		AI5		AI6		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		
8.008		107.1		105.3		3.69		0.02		0.02		0.02		3.69		0.01		
8.105		101.9		101.4		3.69		0.01		0.02		0.03		3.69		0.01		
8.203		99.3		97.1		3.69		0.01		0.03		0.02		3.69		0.01		
8.301		126.6		134.3		3.69		0.01		0.01		0.02		0.02		3.69		
8.398		85.9		184.6		3.69		0.02		0.02		0.02		0.02		3.69		
8.496		85.0		187.2		3.69		0.01		0.02		0.02		0.02		3.69		
8.594		84.1		186.3		3.69		0.01		0.02		0.02		0.02		3.69		
8.691		76.7		185.0		3.69		0.01		0.02		0.02		0.02		3.69		
8.789		78.9		185.9		3.69		0.01		0.03		0.02		0.02		3.68		
8.887		70.7		187.2		3.69		0.01		0.02		0.02		0.02		3.69		
8.984		66.8		182.0		3.69		0.01		0.01		0.02		0.02		3.69		
9.082		61.1		184.2		3.69		0.01		0.03		0.02		0.02		3.69		
9.180		57.7		184.6		3.69		0.02		0.02		0.02		0.02		3.68		
9.277		48.6		178.1		3.69		0.02		0.02		0.02		0.02		3.69		
9.375		38.6		176.8		3.69		0.02		0.03		0.02		0.02		3.69		
9.473		32.1		175.9		3.69		0.02		0.02		0.02		0.02		3.69		
9.570		25.6		168.1		3.69		0.01		0.01		0.02		0.02		3.69		
9.668		21.7		168.1		3.69		0.02		0.02		0.02		0.02		3.69		
9.766		11.7		165.1		3.69		0.01		0.02		0.02		0.02		3.68		
9.863		4.3		161.6		3.69		0.01		0.02		0.03		0.02		3.69		
9.961		-3.9		159.5		3.69		0.01		0.02		0.02		0.02		3.68		
10.059		-10.0		151.7		3.69		0.02		0.02		0.02		0.02		3.68		
10.156		-19.9		151.2		3.69		0.01		0.01		0.02		0.02		3.68		
10.254		-26.0		145.6		3.69		0.01		0.02		0.02		0.02		3.69		
10.352		-33.0		140.8		3.69		0.02		0.02		0.02		0.02		3.69		
10.449		-42.9		136.1		3.69		0.02		0.02		0.02		0.02		3.68		
10.547		-45.5		133.0		3.69		0.02		0.03		0.02		0.02		3.69		
10.645		-50.7		130.4		3.69		0.01		0.02		0.02		0.02		3.68		
10.742		-56.4		126.5		3.69		0.02		0.02		0.02		0.02		3.69		
10.840		-61.6		121.8		3.69		0.02		0.03		0.02		0.02		3.69		
10.938		-66.3		119.2		3.69		0.02		0.02		0.02		0.02		3.69		
11.035		-71.5		114.0		3.69		0.01		0.02		0.02		0.02		3.69		
11.133		-73.7		110.9		3.69		0.02		0.02		0.02		0.02		3.69		
11.230		-81.1		107.5		3.69		0.02		0.02		0.02		0.02		3.69		
11.328		-86.7		102.3		3.69		0.02		0.02		0.02		0.02		3.68		
11.426		-90.2		99.7		3.69		0.01		0.02		0.02		0.02		3.69		
11.523		-95.4		95.3		3.69		0.01		0.02		0.02		0.02		3.68		
11.621		-16.5		112.7		0.02		3.69		0.01		0.02		0.02		3.68		
11.719		-104.5		184.6		0.02		3.69		0.02		0.02		0.02		3.69		
11.816		-101.5		182.0		0.02		3.69		0.02		0.02		0.02		3.69		
11.914		-106.7		186.3		0.02		3.69		0.01		0.02		0.02		3.69		
12.012		-111.9		181.6		0.02		3.69		0.02		0.02		0.02		3.69		
12.109		-117.5		185.5		0.02		3.69		0.02		0.02		0.02		3.68		
12.207		-120.1		181.6		0.02		3.69		0.01		0.02		0.02		3.68		
12.305		-123.1		182.9		0.02		3.69		0.02		0.02		0.02		3.69		
12.402		-127.9		181.6		0.02		3.69		0.02		0.02		0.02		3.69		
12.500		-134.0		179.8		0.02		3.69		0.01		0.02		0.02		3.68		
12.598		-138.3		178.1		0.02		3.69		0.02		0.02		0.02		3.69		
12.695		-141.8		177.2		0.02		3.69		0.01		0.02		0.02		3.69		
12.793		-145.3		176.4		0.02		3.69		0.01		0.02		0.02		3.69		
12.891		-149.6		172.0		0.02		3.69		0.02		0.02		0.02		3.68		
12.988		-155.2		169.0		0.02		3.69		0.02		0.02		0.02		3.69		
13.086		-160.0		164.7		0.02		3.69		0.01		0.03		0.02		3.69		
13.184		-161.3		159.9		0.02		3.69		0.02		0.02		0.02		3.69		
13.281		-166.5		157.3		0.02		3.69		0.01		0.02		0.02		3.69		
13.379		-168.7		154.3		0.02		3.69		0.01		0.02		0.02		3.69		
13.477		-170.8		146.5		0.02		3.69		0.02		0.03		0.02		3.69		
13.574		-175.6		144.7		0.02		3.69		0.02		0.02		0.02		3.69		
13.672		-177.8		141.7		0.02		3.69		0.01		0.02		0.02		3.69		
13.770		-183.0		136.1		0.02		3.69		0.02		0.02		0.02		3.69		
13.867		-182.5		133.0		0.02		3.69		0.02		0.02		0.02		3.69		
13.965		-183.0		128.3		0.02		3.69		0.01		0.03		0.02		3.69		
14.063		-185.6		126.5		0.02		3.69		0.02		0.02		0.02		3.69		
14.160		-186.0		125.2		0.02		3.69		0.01		0.02		0.02		3.68		
14.258		-190.4		117.0		0.02		3.69		0.01		0.02		0.02		3.69		
14.355		-187.8		112.2		0.02		3.69		0.02		0.02		0.02		3.69		
14.453		-189.9		110.5		0.02		3.69		0.01		0.02		0.02		3.69		
14.551		-191.2		107.5		0.02		3.69		0.01		0.02		0.02		3.69		
14.648		-193.4		101.8		0.02		3.69		0.02		0.02		0.02		3.69		
14.746		-191.2		98.4		0.02		3.69		0.02		0.02		0.02		3.69		
14.844		-196.0		95.8		0.02		3.69		0.01		0.02		0.02		3.69		
14.941		-195.6		93.6		0.02		3.69		0.02		3.70		0.02		0.02		
15.039		-189.5		183.7		0.02		3.69		0.02		3.69		0.01		0.02		
15.137		-186.0		185.0		0.02		3.69		0.01		3.70		0.02		0.02		
15.234		-189.9		186.3		0.02		3.69		0.02		3.70		0.01		0.02		
15.332		-191.7		185.0		0.02		3.69		0.02		3.69		0.01		0.02		
15.430		-188.6		186.3		0.02		3.69		0.01		3.70		0.01		0.02		
15.527		-189.9		181.1		0.02		3.69		0.02		3.69		0.01		0.02		
15.625		-188.6		181.6		0.02		3.69		0.01		3.69		0.02		0.02		
15.723		-187.3		182.9		0.02		3.69		0.01		3.70		0.01		0.02		
15.820		-186.0		182.9		0.02		3.69		0.02		3.70		0.01		0.02		
15.918		-184.7		178.5		0.02		3.69		0.01		3.69		0.02		0.02		
16.016		-182.5		177.7		0.02		3.69		0.01		3.70		0.02		0.02		
16.113		-177.8		175.1		0.02		3.69		0.02		3.69		0.01		0.02		
16.211		-176.9		174.6		0.02		3.69		0.01		3.69		0.02		0.02		
16.309		-176.9		170.3		0.02		3.69		0.01		3.70		0.01		0.02		
16.406		-171.7		166.4		0.02		3.69		0.02		3.69		0.01		0.02		
16.504		-170.0		162.9		0.02		3.69		0.01		3.69		0.01		0.02		
16.602		-165.6		155.6		0.02		3.69		0.01		3.70		0.01		0.02		
16.699		-159.6		156.0		0.02		3.69		0.02		3.69		0.01		0.02		
16.797		-154.4		152.1		0.02		3.69		0.01		3.69		0.01		0.02		
16.895		-153.1		146.5		0.02		3.69		0.01		3.69		0.01		0.01		
16.992		-146.1		141.3		0.02		3.69		0.02		3.69		0.01		0.02		
17.090		-144.0		136.5		0.02		3.69		0.01		3.69		0.01		0.02		
17.188		-138.8		133.9		0.02		3.69		0.01		3.69		0.01		0.02		
17.285		-133.1		132.2		0.02		3.69		0.02		3.69		0.01		0.02		
17.383		-130.5		127.8		0.02		3.69		0.02		3.69		0.01		0.01		
17.480		-124.4		123.9		0.02		3.69		0.01		3.69		0.01		0.02		
17.578		-123.1		119.2		0.02		3.69		0.02		3.69		0.01		0.01		
17.676		-117.5		117.4		0.02		3.69		0.01		3.69		0.01		0.02		
17.773		-114.5		109.2		0.02		3.69		0.01		3.69		0.01		0.02		
17.871		-111.0		108.8		0.02		3.69		0.02		3.69		0.01		0.02		
17.969		-108.0		106.2		0.02		3.69		0.01		3.69		0.01		0.02		
18.066		-104.5		101.8		0.02		3.69		0.01		3.69		0.01		0.02		
18.164		-101.5		97.5		0.02		3.69		0.02		3.69		0.01		0.02		
18.262		-95.0		96.2		0.02		3.69		0.01		3.69		0.02		0.02		
18.359		-77.2		183.3		0.02		0.02		3.69		3.69		0.01		0.02		
18.457		-89.3		188.5		0.02		0.02		3.70		3.69		0.01		0.02		
18.555		-85.0		186.8		0.02		0.02		3.69		3.69		0.02		0.02		
18.652		-79.3		185.0		0.02		0.02		3.69		3.69		0.02		0.02		
18.750		-76.3		187.2		0.02		0.02		3.70		3.69		0.01		0.02		
18.848		-72.8		186.3		0.02		0.02		3.69		3.68		0.01		0.02		
18.945		-67.6		185.5		0.02		0.02		3.69		3.69		0.01		0.02		
19.043		-65.5		185.5		0.02		0.02		3.70		3.69		0.01		0.02		
19.141		-58.1		181.6		0.02		0.02		3.69		3.69		0.02		0.02		
19.238		-51.6		179.0		0.02		0.02		3.69		3.69		0.02		0.02		
19.336		-42.9		179.0		0.02		0.02		3.70		3.69		0.01		0.02		
19.434		-36.9		172.9		0.02		0.02		3.69		3.69		0.01		0.02		
19.531		-29.1		172.9		0.02		0.02		3.69		3.69		0.01		0.01		
19.629		-20.8		167.7		0.02		0.02		3.70		3.69		0.01		0.02		
19.727		-16.9		169.9		0.02		0.02		3.69		3.69		0.01		0.02		
19.824		-7.4		162.9		0.02		0.02		3.69		3.69		0.01		0.02		
19.922		-0.4		159.5		0.02		0.02		3.70		3.69		0.01		0.02		
20.020		5.6		155.6		0.02		0.02		3.69		3.69		0.01		0.02		
20.117		11.7		151.2		0.02		0.02		3.69		3.69		0.01		0.02		
20.215		23.0		148.2		0.02		0.02		3.69		3.68		0.01		0.02		
20.313		28.2		143.0		0.02		0.02		3.69		3.69		0.01		0.02		
20.410		33.4		141.3		0.02		0.02		3.69		3.69		0.01		0.02		
20.508		40.3		135.6		0.02		0.02		3.70		3.69		0.01		0.01		
20.605		46.0		131.7		0.02		0.02		3.69		3.69		0.01		0.02		
20.703		50.7		125.7		0.02		0.02		3.69		3.69		0.01		0.01		
20.801		56.8		125.2		0.02		0.02		3.69		3.68		0.01		0.02		
20.898		63.3		120.0		0.02		0.02		3.69		3.69		0.01		0.02		
20.996		69.4		115.7		0.02		0.02		3.69		3.69		0.01		0.01		
21.094		73.7		115.3		0.02		0.02		3.70		3.69		0.01		0.01		
21.191		77.6		109.6		0.02		0.02		3.69		3.69		0.01		0.02		
21.289		84.1		103.6		0.02		0.02		3.69		3.69		0.01		0.02		
21.387		87.2		101.8		0.02		0.02		3.70		3.69		0.01		0.02		
21.484		93.2		98.4		0.02		0.02		3.69		3.69		0.01		0.02		
21.582		98.0		95.3		0.02		0.02		3.69		3.69		0.01		0.02		
21.680		127.9		179.4		0.02		0.02		3.70		0.02		3.68		0.01		
21.777		99.7		187.2		0.02		0.02		3.69		0.02		3.68		0.01		
21.875		103.6		185.9		0.02		0.02		3.69		0.02		3.69		0.01		
21.973		108.4		186.3		0.02		0.02		3.70		0.02		3.69		0.01		
22.070		113.2		185.5		0.02		0.02		3.69		0.02		3.69		0.01		
22.168		116.6		187.2		0.02		0.02		3.69		0.02		3.69		0.01		
22.266		120.1		185.5		0.02		0.01		3.69		0.02		3.69		0.01		
22.363		124.0		182.0		0.02		0.02		3.69		0.02		3.69		0.01		
22.461		130.1		180.3		0.02		0.02		3.69		0.02		3.69		0.01		
22.559		137.5		180.7		0.02		0.02		3.70		0.02		3.69		0.01		
22.656		135.7		179.4		0.02		0.02		3.69		0.02		3.69		0.01		
22.754		144.0		175.9		0.02		0.02		3.68		0.02		3.69		0.01		
22.852		147.0		175.5		0.02		0.02		3.70		0.02		3.68		0.01		
22.949		150.5		171.2		0.02		0.02		3.69		0.02		3.69		0.01		
23.047		155.2		168.6		0.02		0.02		3.69		0.02		3.69		0.01		
23.145		161.7		162.1		0.02		0.02		3.70		0.01		3.69		0.01		
23.242		162.6		159.9		0.02		0.02		3.69		0.02		3.69		0.01		
23.340		165.6		156.4		0.02		0.02		3.69		0.01		3.68		0.01		
23.438		168.7		154.3		0.02		0.02		3.70		0.02		3.68		0.01		
23.535		176.9		149.1		0.02		0.02		3.69		0.02		3.69		0.01		
23.633		175.6		143.0		0.02		0.02		3.69		0.02		3.69		0.01		
23.730		178.2		137.4		0.02		0.02		3.70		0.02		3.69		0.01		
23.828		183.0		135.6		0.02		0.02		3.69		0.01		3.69		0.01		
23.926		182.1		130.4		0.02		0.02		3.69		0.02		3.69		0.01		
24.023		182.5		130.0		0.02		0.02		3.69		0.02		3.68		0.01		
24.121		186.0		122.6		0.02		0.02		3.69		0.02		3.69		0.01		
24.219		186.9		120.0		0.02		0.02		3.69		0.02		3.69		0.01		
24.316		186.9		118.7		0.02		0.02		3.69		0.02		3.68		0.01		
24.414		187.8		111.4		0.02		0.02		3.69		0.02		3.69		0.01		
24.512		188.6		106.6		0.02		0.02		3.69		0.02		3.69		0.01		
24.609		190.8		104.4		0.02		0.02		3.70		0.02		3.69		0.01		
24.707		191.7		98.8		0.02		0.02		3.69		0.02		3.69		0.01		
24.805		190.4		99.7		0.02		0.02		3.69		0.02		3.69		0.01		
24.902		190.8		93.6		0.02		0.02		3.70		0.02		3.69		0.01		
25.000		185.1		175.9		3.69		0.01		0.02		0.02		3.69		0.01		
25.098		192.1		185.9		3.69		0.01		0.02		0.02		3.69		0.01		
25.195		190.8		183.7		3.69		0.01		0.02		0.02		3.69		0.01		
