Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		3.0		-166.3		0.02		0.02		0.02		0.02		0.696		157.7		
0.098		11.3		-167.2		0.02		0.02		0.01		0.02		0.679		152.1		
0.195		19.5		-172.0		0.02		0.02		0.02		0.02		0.652		149.5		
0.293		25.1		-174.2		0.02		0.02		0.02		0.02		0.652		141.7		
0.391		32.5		-178.1		0.02		0.02		0.01		0.02		0.626		140.8		
0.488		40.8		-181.2		0.01		0.02		0.02		0.02		0.607		136.1		
0.586		45.5		-183.8		0.02		0.02		0.02		0.02		0.592		131.7		
0.684		49.4		-183.8		0.02		0.02		0.02		0.02		0.582		129.1		
0.781		56.8		-182.9		0.02		0.02		0.01		0.02		0.554		128.3		
0.879		65.0		-184.7		0.02		0.02		0.01		0.02		0.552		123.9		
0.977		68.5		-186.9		0.02		0.02		0.01		0.02		0.522		115.7		
1.074		72.0		-189.9		0.02		0.02		0.02		0.02		0.501		111.8		
1.172		90.6		-187.3		3.68		0.02		0.01		0.02		0.783		178.5		
1.270		75.9		-189.9		3.69		0.02		0.01		0.02		0.797		182.4		
1.367		82.4		-185.6		3.68		0.02		0.01		0.02		0.800		182.9		
1.465		83.7		-188.2		3.69		0.02		0.01		0.02		0.810		185.0		
1.563		91.5		-188.6		3.68		0.02		0.01		0.01		0.802		185.5		
1.660		93.7		-189.9		3.68		0.02		0.01		0.01		0.829		184.6		
1.758		97.1		-189.5		3.69		0.02		0.01		0.02		0.808		185.9		
1.855		104.1		-191.2		3.68		0.02		0.01		0.02		0.808		187.6		
1.953		106.2		-189.9		3.68		0.02		0.01		0.02		0.831		183.3		
2.051		113.6		-187.7		3.68		0.02		0.01		0.02		0.814		183.7		
2.148		114.0		-189.9		3.68		0.02		0.01		0.02		0.819		184.2		
2.246		118.8		-192.1		3.68		0.02		0.01		0.02		0.812		185.0		
2.344		122.7		-187.3		3.68		0.02		0.01		0.02		0.812		182.9		
2.441		124.9		-186.0		3.68		0.02		0.01		0.02		0.797		182.4		
2.539		132.7		-185.6		3.68		0.02		0.01		0.02		0.810		179.4		
2.637		140.1		-183.4		3.68		0.02		0.01		0.02		0.783		180.7		
2.734		138.8		-179.9		3.68		0.02		0.01		0.02		0.783		176.8		
2.832		147.4		-175.9		3.68		0.02		0.01		0.02		0.768		173.3		
2.930		150.9		-174.6		3.68		0.02		0.01		0.02		0.753		169.9		
3.027		152.6		-172.9		3.68		0.02		0.01		0.02		0.745		166.4		
3.125		157.8		-169.8		3.68		0.02		0.01		0.01		0.726		163.4		
3.223		161.3		-165.4		3.68		0.02		0.01		0.02		0.715		159.0		
3.320		162.2		-158.9		3.68		0.02		0.01		0.02		0.696		155.6		
3.418		167.4		-158.0		3.68		0.02		0.01		0.02		0.679		151.7		
3.516		170.0		-155.4		3.68		0.02		0.01		0.02		0.662		148.6		
3.613		174.3		-147.0		3.68		0.02		0.01		0.02		0.632		142.6		
3.711		175.2		-144.0		3.68		0.02		0.01		0.02		0.622		141.3		
3.809		177.8		-141.4		3.69		0.02		0.01		0.02		0.605		136.5		
3.906		181.7		-135.2		3.68		0.02		0.01		0.02		0.582		130.4		
4.004		183.4		-133.0		3.68		0.02		0.01		0.02		0.582		128.3		
4.102		188.6		-131.3		3.68		0.02		0.01		0.01		0.561		126.1		
4.199		187.3		-125.2		3.68		0.02		0.01		0.02		0.533		123.5		
4.297		188.6		-125.2		3.68		0.02		0.01		0.02		0.514		117.0		
4.395		189.5		-118.6		3.68		0.02		0.01		0.02		0.499		114.8		
4.492		185.6		-68.3		3.68		3.69		0.01		0.01		0.770		177.2		
4.590		184.7		-110.7		3.68		3.69		0.01		0.01		0.795		180.3		
4.688		188.6		-105.0		3.68		3.69		0.01		0.01		0.814		183.3		
4.785		188.6		-100.7		3.69		3.69		0.01		0.02		0.819		183.7		
4.883		188.2		-98.9		3.68		3.69		0.01		0.01		0.800		182.4		
4.980		188.6		-92.3		3.69		3.69		0.01		0.01		0.804		183.7		
5.078		191.2		-89.3		3.69		3.69		0.01		0.01		0.812		185.0		
5.176		190.4		-85.3		3.69		3.69		0.02		0.01		0.825		184.2		
5.273		187.8		-79.2		3.69		3.69		0.01		0.02		0.819		186.3		
5.371		189.9		-77.5		3.69		3.69		0.01		0.01		0.821		187.6		
5.469		187.3		-76.1		3.68		3.69		0.01		0.01		0.810		183.7		
5.566		188.2		-69.1		3.69		3.69		0.01		0.02		0.819		183.3		
5.664		190.8		-63.0		3.69		3.69		0.01		0.01		0.800		184.2		
5.762		187.3		-59.5		3.69		3.69		0.01		0.01		0.806		183.7		
5.859		183.8		-56.0		3.69		3.69		0.01		0.01		0.791		179.4		
5.957		183.4		-46.8		3.68		3.69		0.01		0.01		0.791		176.8		
6.055		180.8		-41.6		3.69		3.69		0.02		0.02		0.778		173.8		
6.152		179.5		-34.6		3.69		3.69		0.01		0.01		0.766		174.2		
6.250		172.1		-26.7		3.69		3.69		0.01		0.01		0.751		169.9		
6.348		173.0		-17.9		3.68		3.69		0.01		0.02		0.734		169.0		
6.445		171.7		-12.3		3.69		3.69		0.01		0.01		0.732		167.7		
6.543		166.1		-5.7		3.69		3.69		0.01		0.01		0.711		165.1		
6.641		163.5		2.2		3.69		3.69		0.02		0.01		0.707		158.6		
6.738		159.6		11.8		3.69		3.69		0.02		0.01		0.687		153.4		
6.836		152.6		17.9		3.69		3.69		0.01		0.01		0.671		151.2		
6.934		150.5		26.3		3.69		3.69		0.02		0.01		0.649		145.6		
7.031		145.3		32.4		3.69		3.69		0.01		0.01		0.613		141.7		
7.129		140.5		37.2		3.69		3.69		0.01		0.02		0.603		135.6		
7.227		137.5		45.1		3.69		3.69		0.01		0.02		0.586		130.9		
7.324		134.0		51.6		3.69		3.69		0.01		0.01		0.558		131.7		
7.422		129.6		55.1		3.69		3.69		0.01		0.02		0.567		126.1		
7.520		130.5		61.3		3.69		3.69		0.01		0.02		0.537		121.8		
7.617		124.9		70.0		3.69		3.69		0.01		0.02		0.525		120.0		
7.715		118.4		73.1		3.69		3.69		0.01		0.01		0.512		113.1		
7.813		99.3		108.1		0.02		3.69		3.68		0.02		0.740		164.7		
7.910		112.7		75.7		0.02		3.69		3.69		0.01		0.791		181.6		
8.008		105.8		78.3		0.02		3.69		3.69		0.02		0.795		181.1		
8.105		103.2		88.0		0.02		3.69		3.68		0.02		0.816		185.0		
8.203		99.3		90.2		0.02		3.69		3.68		0.01		0.821		186.8		
8.301		91.5		94.5		0.02		3.69		3.68		0.01		0.812		185.5		
8.398		92.4		97.6		0.02		3.69		3.68		0.01		0.827		184.6		
8.496		86.7		104.2		0.02		3.69		3.68		0.01		0.819		186.8		
