Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		13.0		-163.7		0.02		0.02		0.02		0.02		0.599		137.4		
0.098		14.3		-170.7		0.02		0.02		0.02		0.02		0.666		153.4		
0.195		23.8		-172.4		0.02		0.02		0.02		0.02		0.643		145.2		
0.293		26.9		-177.2		0.02		0.02		0.02		0.02		0.622		143.4		
0.391		33.4		-180.3		0.02		0.02		0.02		0.02		0.613		138.2		
0.488		39.9		-179.9		0.02		0.02		0.02		0.02		0.601		136.5		
0.586		44.2		-186.4		0.02		0.02		0.01		0.02		0.586		132.2		
0.684		52.9		-184.2		0.02		0.02		0.02		0.02		0.571		127.0		
0.781		56.8		-184.7		0.02		0.02		0.02		0.02		0.546		124.4		
0.879		63.7		-186.9		0.02		0.02		0.01		0.02		0.535		121.3		
0.977		66.3		-191.7		0.02		0.02		0.02		0.02		0.520		120.9		
1.074		74.1		-187.7		0.02		0.02		0.02		0.02		0.495		111.8		
1.172		78.9		-190.4		0.02		0.02		0.02		0.02		0.487		107.5		
1.270		85.4		-188.6		0.02		0.02		0.02		0.02		0.476		107.0		
1.367		87.2		-192.6		0.02		0.02		0.02		0.02		0.472		105.7		
1.465		93.2		-197.4		0.02		0.02		0.02		0.02		0.444		98.4		
1.563		96.7		-195.2		0.02		0.02		0.02		0.02		0.419		94.0		
1.660		103.2		-193.4		0.02		0.02		0.02		0.02		0.406		89.3		
1.758		102.3		-196.9		0.02		0.02		0.02		0.02		0.381		88.8		
1.855		110.1		-194.7		0.02		0.02		0.02		0.02		0.364		84.1		
1.953		115.3		-195.2		0.02		0.02		0.02		0.02		0.351		78.4		
2.051		114.9		-193.4		0.02		0.02		0.02		0.02		0.330		75.8		
2.148		119.7		-196.9		0.02		0.02		0.02		0.02		0.313		70.2		
2.246		123.1		-191.7		0.02		0.02		0.02		0.02		0.298		67.2		
2.344		127.9		-194.3		0.02		0.02		0.02		0.02		0.288		63.7		
2.441		132.7		-195.2		0.02		0.02		0.02		0.02		0.250		60.2		
2.539		134.9		-191.2		0.02		0.02		0.02		0.02		0.231		52.4		
2.637		140.1		-185.1		0.02		0.02		0.02		0.02		0.203		46.8		
2.734		143.5		-189.5		0.02		0.02		0.02		0.02		0.169		39.4		
2.832		147.9		-180.3		0.02		0.02		0.02		0.02		0.129		33.8		
2.930		154.8		-181.2		0.02		0.02		0.02		0.02		0.116		24.3		
3.027		157.4		-177.2		0.02		0.02		0.02		0.02		0.091		18.2		
3.125		159.6		-174.6		0.02		0.02		0.02		0.02		0.051		10.0		
3.223		166.9		-169.8		0.02		0.02		0.02		0.02		0.013		4.3		
3.320		150.0		-130.4		3.69		0.03		0.01		0.02		0.535		119.6		
3.418		167.8		-154.9		3.68		0.02		0.01		0.02		0.668		149.1		
3.516		169.5		-149.2		3.69		0.02		0.01		0.02		0.647		147.3		
3.613		176.0		-142.2		3.68		0.02		0.01		0.02		0.620		140.8		
3.711		176.5		-141.4		3.69		0.02		0.01		0.02		0.626		137.4		
3.809		177.3		-140.5		3.68		0.02		0.01		0.02		0.597		136.1		
3.906		182.1		-136.1		3.68		0.02		0.01		0.01		0.577		132.6		
4.004		184.3		-133.5		3.68		0.02		0.01		0.02		0.563		128.3		
4.102		186.0		-128.2		3.69		0.02		0.01		0.02		0.548		124.8		
4.199		186.4		-123.0		3.68		0.02		0.01		0.02		0.525		118.3		
4.297		187.8		-120.8		3.68		0.02		0.01		0.02		0.506		119.6		
4.395		186.4		-114.7		3.69		0.02		0.01		0.02		0.495		116.1		
4.492		192.5		-112.9		3.68		0.02		0.01		0.02		0.489		109.6		
4.590		190.4		-109.8		3.68		0.02		0.01		0.02		0.467		104.0		
4.688		193.0		-105.0		3.69		0.02		0.01		0.02		0.451		101.4		
4.785		193.0		-101.1		3.69		0.02		0.01		0.02		0.427		98.8		
4.883		194.3		-99.3		3.68		0.03		0.01		0.02		0.415		95.8		
4.980		195.6		-94.5		3.68		0.02		0.01		0.02		0.400		93.2		
5.078		193.8		-88.0		3.69		0.02		0.01		0.02		0.389		84.5		
5.176		193.8		-84.5		3.68		0.02		0.01		0.02		0.366		84.1		
5.273		194.7		-80.5		3.69		0.02		0.01		0.02		0.357		77.6		
5.371		195.6		-78.8		3.68		0.02		0.01		0.02		0.328		75.4		
5.469		195.6		-75.7		3.69		0.02		0.01		0.02		0.311		71.9		
5.566		193.0		-69.1		3.69		0.02		0.01		0.02		0.300		67.6		
5.664		191.7		-67.4		3.68		0.03		0.01		0.02		0.279		62.0		
5.762		189.5		-60.0		3.68		0.02		0.01		0.02		0.264		57.6		
5.859		189.1		-51.6		3.69		0.02		0.01		0.02		0.243		49.0		
5.957		188.2		-47.3		3.69		0.02		0.01		0.02		0.201		46.4		
6.055		184.7		-41.6		3.69		0.03		0.01		0.02		0.178		40.3		
6.152		183.8		-33.3		3.69		0.02		0.02		0.02		0.133		32.9		
6.250		181.7		-25.8		3.69		0.02		0.01		0.02		0.112		24.7		
6.348		178.6		-22.3		3.69		0.03		0.02		0.02		0.082		19.1		
6.445		174.7		-14.4		3.69		0.03		0.01		0.02		0.051		10.8		
6.543		172.1		-6.6		3.69		0.03		0.01		0.02		0.032		5.6		
6.641		152.6		15.8		3.69		3.69		0.02		0.02		0.163		49.0		
6.738		158.7		14.4		3.69		3.69		0.02		0.01		0.666		150.8		
6.836		154.4		21.0		3.69		3.69		0.01		0.01		0.639		148.6		
6.934		149.6		26.7		3.69		3.69		0.02		0.02		0.637		146.5		
7.031		143.5		35.4		3.69		3.69		0.02		0.01		0.613		141.7		
7.129		141.8		39.8		3.69		3.69		0.02		0.01		0.590		138.2		
7.227		138.3		45.5		3.69		3.69		0.02		0.02		0.584		134.8		
7.324		133.1		53.8		3.69		3.69		0.01		0.02		0.573		128.3		
7.422		127.0		57.8		3.69		3.69		0.01		0.02		0.556		124.4		
7.520		127.5		64.3		3.69		3.69		0.02		0.02		0.550		123.1		
7.617		121.4		67.4		3.69		3.69		0.01		0.02		0.525		116.1		
7.715		117.9		74.0		3.69		3.69		0.02		0.02		0.499		113.1		
7.813		115.3		77.5		3.69		3.69		0.02		0.02		0.497		111.4		
7.910		109.7		82.7		3.69		3.69		0.01		0.02		0.476		106.2		
8.008		105.4		88.0		3.69		3.69		0.01		0.02		0.465		103.1		
8.105		102.3		93.7		3.69		3.69		0.01		0.02		0.444		101.8		
8.203		97.6		96.7		3.69		3.69		0.01		0.01		0.429		97.5		
8.301		97.1		102.8		3.69		3.69		0.01		0.02		0.408		93.6		
8.398		92.4		105.5		3.68		3.69		0.01		0.02		0.391		89.7		
8.496		86.3		108.5		3.69		3.69		0.01		0.01		0.372		83.6		
