Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E3		AI1		AI2		AI3		AI4		AI5		AI6		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		
0.000		0.4		159.0		0.02		0.02		3.69		0.02		3.69		0.01		
0.098		4.3		159.5		0.02		0.02		3.69		0.02		3.69		0.01		
0.195		7.8		159.9		0.02		0.02		3.70		0.01		3.69		0.01		
0.293		24.7		168.1		0.02		0.02		3.69		0.02		3.69		0.01		
0.391		29.9		169.0		0.02		0.02		3.69		0.02		3.69		0.01		
0.488		35.6		169.0		0.02		0.02		3.69		0.02		3.68		0.01		
0.586		43.8		175.1		0.02		0.02		3.69		0.02		3.69		0.01		
0.684		49.0		175.1		0.02		0.02		3.69		0.02		3.69		0.01		
0.781		53.8		177.2		0.02		0.02		3.69		0.02		3.68		0.01		
0.879		58.5		179.4		0.02		0.02		3.69		0.02		3.69		0.01		
0.977		65.0		180.7		0.02		0.02		3.69		0.02		3.69		0.01		
1.074		70.2		183.7		0.02		0.02		3.70		0.02		3.69		0.01		
1.172		72.4		180.3		0.02		0.02		3.69		0.01		3.69		0.01		
1.270		77.2		184.2		0.02		0.02		3.69		0.02		3.69		0.01		
1.367		85.0		185.0		0.02		0.01		3.69		0.01		3.68		0.01		
1.465		86.7		184.2		0.02		0.02		3.69		0.02		3.68		0.01		
1.563		96.3		185.9		0.02		0.02		3.69		0.02		3.69		0.01		
1.660		98.9		185.0		0.02		0.02		3.70		0.02		3.69		0.01		
1.758		103.2		185.5		0.02		0.02		3.69		0.02		3.69		0.01		
1.855		103.2		185.9		0.02		0.02		3.69		0.02		3.69		0.01		
1.953		111.9		185.0		0.02		0.02		3.70		0.02		3.68		0.01		
2.051		116.2		185.9		0.02		0.02		3.69		0.02		3.69		0.01		
2.148		115.8		184.2		0.02		0.02		3.69		0.02		3.69		0.01		
2.246		119.7		185.5		0.02		0.02		3.70		0.02		3.69		0.01		
2.344		124.9		182.9		0.02		0.02		3.69		0.02		3.69		0.01		
2.441		130.9		182.4		0.02		0.02		3.69		0.02		3.69		0.01		
2.539		134.9		180.7		0.02		0.02		3.70		0.02		3.69		0.01		
2.637		139.6		179.0		0.02		0.02		3.69		0.02		3.69		0.01		
2.734		144.0		175.5		0.02		0.01		3.69		0.02		3.69		0.01		
2.832		150.0		174.6		0.02		0.02		3.69		0.02		3.69		0.01		
2.930		153.1		171.6		0.02		0.02		3.69		0.01		3.69		0.01		
3.027		155.7		168.6		0.02		0.02		3.69		0.02		3.69		0.01		
3.125		160.4		163.4		0.02		0.02		3.69		0.02		3.69		0.01		
3.223		164.8		158.2		0.02		0.02		3.69		0.01		3.69		0.01		
3.320		160.4		157.3		3.69		0.01		0.02		0.02		3.69		0.01		
3.418		165.2		159.9		3.69		0.01		0.02		0.02		3.69		0.01		
3.516		163.0		156.9		3.69		0.01		0.02		0.02		3.69		0.01		
3.613		173.0		167.3		3.69		0.01		0.01		0.02		3.69		0.01		
3.711		174.7		167.7		3.69		0.01		0.02		0.02		3.69		0.01		
3.809		176.5		170.7		3.69		0.01		0.02		0.02		3.69		0.01		
3.906		179.5		175.5		3.69		0.01		0.01		0.02		3.69		0.01		
4.004		179.1		176.8		3.69		0.01		0.02		0.02		3.68		0.01		
4.102		183.4		176.8		3.69		0.01		0.02		0.02		3.69		0.01		
4.199		183.0		179.4		3.69		0.01		0.01		0.02		3.69		0.01		
4.297		183.0		176.4		3.69		0.01		0.02		0.02		3.69		0.01		
4.395		183.0		181.1		3.69		0.01		0.01		0.02		3.69		0.01		
4.492		186.4		182.0		3.69		0.01		0.01		0.03		3.69		0.01		
4.590		187.8		182.4		3.69		0.01		0.02		0.02		3.69		0.01		
4.688		189.5		184.2		3.69		0.01		0.02		0.02		3.69		0.01		
4.785		190.8		182.9		3.69		0.01		0.02		0.02		3.69		0.01		
4.883		190.4		185.5		3.69		0.01		0.02		0.02		3.69		0.01		
4.980		190.4		185.5		3.69		0.01		0.02		0.02		3.69		0.01		
5.078		189.9		187.6		3.69		0.01		0.02		0.02		3.69		0.01		
5.176		190.4		185.0		3.69		0.02		0.02		0.02		3.69		0.01		
5.273		191.2		186.3		3.69		0.01		0.02		0.02		3.69		0.01		
5.371		191.2		184.2		3.69		0.01		0.02		0.03		3.69		0.01		
5.469		190.8		182.9		3.69		0.01		0.02		0.02		3.69		0.01		
5.566		188.2		183.3		3.69		0.01		0.02		0.02		3.69		0.01		
5.664		187.3		185.0		3.69		0.01		0.01		0.03		3.69		0.01		
5.762		187.3		179.4		3.69		0.01		0.03		0.02		3.69		0.01		
5.859		184.3		181.6		3.69		0.01		0.02		0.02		3.69		0.01		
5.957		182.1		177.2		3.69		0.01		0.02		0.02		3.69		0.02		
6.055		177.8		175.9		3.69		0.01		0.02		0.02		3.69		0.01		
6.152		174.3		172.5		3.69		0.01		0.02		0.02		3.69		0.01		
6.250		173.9		170.7		3.69		0.02		0.02		0.02		3.69		0.01		
6.348		173.0		169.0		3.69		0.02		0.03		0.02		3.69		0.01		
6.445		169.5		165.5		3.69		0.01		0.02		0.02		3.69		0.01		
6.543		165.2		161.6		3.69		0.01		0.02		0.02		3.69		0.01		
6.641		162.6		156.9		3.69		0.02		0.03		0.03		0.02		3.69		
6.738		161.7		160.8		3.69		0.01		0.02		0.02		0.02		3.69		
6.836		160.4		159.9		3.70		0.02		0.02		0.03		0.02		3.69		
6.934		147.9		169.9		3.69		0.01		0.02		0.02		0.02		3.69		
