Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E3		AI1		AI2		AI3		AI4		AI5		AI6		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		
0.000		3.0		-1.3		0.01		3.69		0.01		3.70		0.02		0.02		
0.098		10.8		-0.9		0.02		3.69		0.02		3.69		0.01		0.02		
0.195		19.1		1.3		0.02		3.69		0.02		3.69		0.02		0.02		
0.293		26.0		1.3		0.02		3.69		0.01		3.69		0.01		0.02		
0.391		33.8		-2.2		0.01		3.69		0.02		3.69		0.01		0.02		
0.488		39.0		-1.3		0.01		3.69		0.02		3.69		0.02		0.02		
0.586		41.6		2.6		0.02		3.69		0.01		3.69		0.01		0.02		
0.684		49.4		-0.4		0.02		3.69		0.02		3.69		0.01		0.02		
0.781		55.1		0.0		0.02		3.69		0.01		3.69		0.01		0.02		
0.879		61.6		-0.4		0.02		3.69		0.01		3.69		0.01		0.01		
0.977		67.6		0.4		0.02		3.69		0.02		3.69		0.01		0.01		
1.074		72.0		0.0		0.02		3.69		0.01		3.69		0.01		0.02		
1.172		75.9		3.9		0.02		3.69		0.01		3.69		0.01		0.01		
1.270		80.7		-0.4		0.02		3.69		0.02		3.69		0.01		0.02		
1.367		84.6		0.9		0.02		3.69		0.01		3.69		0.01		0.01		
1.465		91.5		0.9		0.02		3.69		0.01		3.69		0.01		0.02		
1.563		97.1		-0.9		0.02		3.69		0.01		3.69		0.01		0.01		
1.660		100.2		0.0		0.03		0.02		3.69		3.69		0.01		0.02		
1.758		103.6		86.2		0.02		0.02		3.69		3.69		0.02		0.02		
1.855		111.4		81.0		0.02		0.02		3.69		3.68		0.02		0.02		
1.953		115.3		80.6		0.02		0.02		3.69		3.68		0.01		0.02		
2.051		116.6		78.9		0.02		0.02		3.68		3.69		0.01		0.02		
2.148		120.1		73.2		0.02		0.02		3.70		3.68		0.01		0.02		
2.246		119.7		70.2		0.02		0.02		3.69		3.69		0.01		0.02		
2.344		128.8		62.4		0.02		0.02		3.69		3.69		0.01		0.02		
2.441		130.5		61.5		0.02		0.02		3.70		3.68		0.01		0.02		
2.539		136.6		51.6		0.02		0.02		3.69		3.69		0.01		0.01		
2.637		144.0		47.7		0.02		0.02		3.69		3.69		0.01		0.02		
2.734		145.7		37.3		0.02		0.02		3.70		3.69		0.01		0.02		
2.832		148.7		34.2		0.02		0.02		3.69		3.68		0.01		0.01		
2.930		152.6		26.9		0.02		0.02		3.68		3.69		0.01		0.01		
3.027		158.7		19.9		0.02		0.02		3.69		3.68		0.01		0.01		
3.125		160.0		13.0		0.02		0.02		3.69		3.69		0.01		0.02		
3.223		164.8		6.1		0.02		0.02		3.69		3.69		0.01		0.02		
3.320		168.7		0.0		0.02		0.02		3.69		3.69		0.01		0.02		
3.418		170.4		-2.2		0.01		0.02		3.69		3.69		0.01		0.02		
3.516		172.6		0.4		0.02		0.02		3.68		3.69		0.01		0.01		
3.613		175.2		-1.7		0.01		0.02		3.69		3.68		0.01		0.01		
3.711		180.4		-0.4		0.02		0.02		3.69		3.68		0.01		0.02		
3.809		184.7		-1.3		0.01		0.02		3.69		3.69		0.01		0.01		
3.906		184.7		-0.4		0.02		0.02		3.69		3.68		0.01		0.02		
4.004		186.9		0.4		0.02		0.02		3.69		3.68		0.01		0.01		
4.102		186.0		-0.9		0.02		0.02		3.68		3.69		0.01		0.01		
4.199		186.9		0.4		0.02		0.02		3.69		3.68		0.01		0.01		
4.297		192.1		0.4		0.03		0.02		3.69		3.68		0.01		0.02		
4.395		194.3		-1.3		0.01		0.02		3.69		3.69		0.02		0.02		
4.492		189.9		-0.9		0.02		0.01		3.69		3.69		0.01		0.02		
4.590		193.0		-0.4		0.02		0.02		3.69		3.69		0.01		0.02		
4.688		197.7		1.3		0.02		0.02		3.69		3.69		0.01		0.02		
4.785		196.9		-1.7		0.01		0.02		3.69		3.68		0.01		0.02		
4.883		196.9		1.3		0.02		0.02		3.69		3.68		0.01		0.01		
4.980		199.0		-1.7		0.01		0.02		3.69		2.94		3.35		0.01		
5.078		196.0		84.5		0.02		0.02		3.70		0.02		3.69		0.01		
5.176		195.6		83.6		0.02		0.02		3.69		0.02		3.69		0.01		
5.273		193.4		81.9		0.02		0.02		3.68		0.02		3.69		0.01		
5.371		193.8		74.1		0.02		0.02		3.69		0.02		3.68		0.01		
5.469		193.4		75.4		0.02		0.02		3.69		0.02		3.69		0.01		
5.566		195.6		68.9		0.02		0.02		3.69		0.02		3.69		0.01		
5.664		196.4		61.5		0.02		0.02		3.70		0.02		3.69		0.01		
5.762		195.1		60.2		0.02		0.02		3.69		0.02		3.69		0.01		
5.859		189.1		51.1		0.02		0.02		3.68		0.02		3.69		0.01		
5.957		187.3		45.1		0.02		0.02		3.70		0.02		3.69		0.01		
6.055		185.6		40.7		0.03		0.02		3.69		0.02		3.69		0.01		
6.152		184.3		30.8		0.03		0.02		3.69		0.02		3.69		0.01		
6.250		180.4		26.0		0.02		0.02		3.70		0.02		3.69		0.02		
6.348		178.6		21.2		0.02		0.02		3.69		0.02		3.69		0.01		
6.445		175.2		14.7		0.02		0.02		3.69		0.02		3.69		0.01		
6.543		170.4		7.4		0.03		0.02		3.70		0.02		3.69		0.02		
6.641		167.8		2.6		0.03		0.02		3.69		0.02		3.69		0.01		
6.738		160.0		-0.9		0.03		0.02		3.69		0.02		3.69		0.01		
6.836		159.6		-1.7		0.01		0.02		3.70		0.02		3.69		0.01		
