Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
7.617		121.4		74.4		3.68		0.02		0.02		0.02		1.106		-81.5		
7.715		120.5		77.5		3.68		0.02		0.01		0.02		1.140		-87.1		
7.813		115.8		83.2		3.69		0.03		0.02		0.02		1.146		-91.4		
7.910		108.0		91.9		3.68		0.02		0.02		0.02		1.155		-96.2		
8.008		108.4		96.7		3.68		0.02		0.02		0.02		1.176		-100.5		
8.105		101.0		96.3		3.69		0.02		0.01		0.02		1.163		-104.4		
8.203		97.1		103.3		3.68		0.02		0.01		0.02		1.168		-107.0		
8.301		95.8		104.6		3.68		0.02		0.01		0.02		1.144		-111.4		
8.398		90.6		110.7		3.68		0.02		0.01		0.02		1.136		-117.0		
8.496		89.3		111.6		3.68		0.02		0.01		0.02		1.102		-121.3		
8.594		83.3		120.4		3.68		0.02		0.01		0.02		1.079		-123.5		
8.691		79.3		124.3		3.69		0.02		0.01		0.02		1.053		-127.8		
8.789		75.4		128.2		3.68		0.02		0.02		0.02		1.041		-131.7		
8.887		74.1		128.7		3.68		0.02		0.01		0.02		1.013		-133.9		
8.984		69.8		133.9		3.69		0.02		0.01		0.02		1.001		-137.4		
9.082		64.6		134.8		3.68		0.02		0.01		0.02		0.979		-139.5		
9.180		58.5		140.9		3.68		0.02		0.01		0.02		0.958		-144.7		
9.277		48.1		143.5		3.69		0.02		0.01		0.02		0.916		-150.4		
9.375		42.5		148.4		3.68		0.02		0.01		0.02		0.880		-150.8		
9.473		31.7		150.1		3.68		0.02		0.02		0.02		0.836		-153.0		
9.570		28.2		156.2		3.68		0.02		0.01		0.02		0.774		-159.9		
9.668		19.1		161.9		3.68		0.02		0.01		0.02		0.740		-163.8		
9.766		12.1		166.3		3.68		0.02		0.01		0.02		0.671		-164.7		
9.863		6.1		165.9		3.69		0.02		0.02		0.02		0.611		-166.8		
9.961		-24.7		188.6		3.68		3.68		0.00		0.01		0.622		29.5		
10.059		-18.2		177.2		3.68		3.69		0.01		0.01		0.721		-22.1		
10.156		-24.3		175.5		3.69		3.69		0.01		0.01		0.814		-26.9		
10.254		-31.2		177.7		3.69		3.69		0.01		0.01		0.882		-36.8		
10.352		-38.2		182.5		3.68		3.68		0.01		0.01		0.937		-45.1		
10.449		-45.5		186.9		3.68		3.69		0.02		0.02		0.984		-51.6		
10.547		-52.0		186.0		3.69		3.68		0.02		0.02		1.026		-57.6		
10.645		-57.2		188.6		3.68		3.68		0.01		0.01		1.068		-63.3		
10.742		-62.9		191.7		3.68		3.69		0.01		0.02		1.085		-68.9		
10.840		-67.6		190.4		3.69		3.69		0.01		0.01		1.104		-74.1		
10.938		-75.9		191.7		3.68		3.69		0.01		0.01		1.123		-82.8		
11.035		-79.3		193.9		3.68		3.69		0.01		0.01		1.144		-86.2		
11.133		-84.1		196.9		3.69		3.68		0.02		0.01		1.168		-91.0		
11.230		-87.6		199.6		3.68		3.69		0.01		0.02		1.168		-93.2		
11.328		-94.1		196.1		3.69		3.69		0.02		0.02		1.185		-100.1		
11.426		-96.7		203.9		3.68		3.68		0.02		0.01		1.199		-104.4		
11.523		-101.0		200.9		3.68		3.68		0.01		0.02		1.208		-107.5		
11.621		-105.4		203.5		3.69		3.68		0.02		0.01		1.204		-112.2		
11.719		-110.1		201.3		3.69		3.68		0.01		0.02		1.185		-116.1		
11.816		-113.2		201.8		3.68		3.69		0.02		0.02		1.163		-121.3		
11.914		-119.2		200.4		3.68		3.69		0.01		0.02		1.157		-125.7		
12.012		-118.8		203.1		3.69		3.68		0.02		0.02		1.104		-129.6		
12.109		-124.4		202.2		3.68		3.69		0.01		0.01		1.087		-130.4		
12.207		-129.6		201.8		3.68		3.68		0.01		0.01		1.049		-132.2		
12.305		-132.7		199.6		3.68		3.69		0.01		0.02		1.022		-134.8		
12.402		-136.6		200.0		3.68		3.69		0.01		0.02		0.979		-141.7		
12.500		-141.8		196.5		3.68		3.69		0.01		0.01		0.948		-143.4		
12.598		-146.6		191.2		3.68		3.69		0.01		0.02		0.929		-147.8		
12.695		-150.0		188.6		3.68		3.68		0.01		0.01		0.893		-151.7		
12.793		-153.1		186.0		3.69		3.69		0.02		0.02		0.863		-157.3		
12.891		-160.4		185.1		3.68		3.69		0.01		0.02		0.829		-158.6		
12.988		-157.8		178.6		3.68		3.69		0.01		0.02		0.785		-163.4		
13.086		-162.6		176.4		3.68		3.69		0.01		0.02		0.734		-165.5		
13.184		-166.1		174.6		3.68		3.69		0.02		0.01		0.673		-168.6		
13.281		-97.1		35.4		0.04		3.69		3.70		0.02		0.637		-80.6		
13.379		-169.5		161.1		0.02		3.68		3.68		0.01		0.742		-8.2		
13.477		-178.2		154.5		0.02		3.69		3.68		0.02		0.829		-26.9		
13.574		-178.2		148.8		0.02		3.69		3.68		0.02		0.888		-38.1		
13.672		-182.1		146.2		0.02		3.69		3.68		0.02		0.950		-40.3		
13.770		-184.3		143.1		0.02		3.69		3.68		0.01		0.990		-52.9		
13.867		-186.9		138.3		0.02		3.69		3.68		0.02		1.020		-56.8		
13.965		-191.7		132.2		0.02		3.69		3.68		0.02		1.045		-61.5		
14.063		-191.2		132.2		0.02		3.69		3.68		0.01		1.108		-67.6		
14.160		-190.8		125.6		0.02		3.69		3.68		0.02		1.117		-75.0		
14.258		-196.0		119.5		0.02		3.69		3.68		0.01		1.151		-81.0		
14.355		-197.7		116.4		0.03		3.69		3.68		0.02		1.172		-82.3		
14.453		-198.2		112.5		0.02		3.69		3.68		0.02		1.199		-90.6		
14.551		-198.6		108.5		0.02		3.69		3.68		0.02		1.216		-94.0		
14.648		-199.9		104.6		0.02		3.69		3.68		0.01		1.227		-100.5		
