Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		0.9		-159.3		0.02		0.02		0.02		0.02		0.696		156.9		
0.098		11.7		-167.6		0.02		0.02		0.02		0.02		0.677		154.7		
0.195		17.8		-171.1		0.02		0.02		0.01		0.02		0.654		148.6		
0.293		28.2		-173.7		0.02		0.02		0.02		0.02		0.639		145.6		
0.391		32.1		-176.8		0.02		0.02		0.02		0.02		0.632		143.0		
0.488		40.3		-176.8		0.02		0.02		0.02		0.02		0.607		133.9		
0.586		46.0		-182.1		0.02		0.02		0.02		0.02		0.573		132.6		
0.684		52.5		-187.3		0.02		0.02		0.01		0.02		0.569		129.1		
0.781		56.4		-185.1		0.02		0.02		0.02		0.02		0.554		125.7		
0.879		63.7		-188.6		0.02		0.02		0.02		0.02		0.533		121.8		
0.977		67.2		-186.9		0.02		0.02		0.02		0.02		0.514		120.5		
1.074		72.0		-189.5		0.02		0.02		0.01		0.02		0.508		116.1		
1.172		74.1		-186.9		0.02		0.02		0.02		0.02		0.489		108.3		
1.270		82.4		-191.7		0.02		0.02		0.01		0.02		0.465		107.0		
1.367		88.9		-191.2		0.02		0.02		0.02		0.02		0.459		104.0		
1.465		89.3		-196.5		0.02		0.02		0.02		0.02		0.436		101.4		
1.563		93.2		-193.9		0.02		0.02		0.02		0.02		0.423		96.2		
1.660		41.2		-169.8		3.68		0.02		0.00		0.02		0.696		149.9		
1.758		101.0		-189.5		3.69		0.02		0.01		0.02		0.816		182.4		
1.855		100.2		-187.7		3.69		0.02		0.01		0.02		0.821		185.9		
1.953		110.1		-187.7		3.68		0.02		0.01		0.02		0.816		186.3		
2.051		110.6		-190.8		3.69		0.02		0.01		0.02		0.812		186.8		
2.148		113.6		-186.4		3.69		0.02		0.01		0.02		0.812		185.5		
2.246		118.4		-187.7		3.68		0.02		0.01		0.02		0.808		183.3		
2.344		122.7		-190.8		3.68		0.02		0.01		0.02		0.808		182.4		
2.441		127.5		-185.6		3.69		0.02		0.01		0.02		0.806		182.4		
2.539		133.1		-188.6		3.68		0.02		0.01		0.02		0.802		179.8		
2.637		137.9		-182.1		3.68		0.02		0.01		0.02		0.800		180.3		
2.734		143.5		-179.9		3.69		0.02		0.01		0.02		0.776		177.7		
2.832		148.7		-176.8		3.68		0.02		0.01		0.02		0.764		172.5		
2.930		150.0		-175.1		3.69		0.02		0.01		0.02		0.749		173.3		
3.027		152.2		-171.6		3.68		0.02		0.01		0.02		0.728		166.8		
3.125		157.4		-169.8		3.68		0.02		0.01		0.02		0.730		162.5		
3.223		163.9		-163.2		3.68		0.02		0.01		0.02		0.700		159.9		
3.320		163.5		-161.1		3.68		0.02		0.01		0.02		0.692		156.0		
3.418		166.5		-155.8		3.68		0.02		0.02		0.02		0.679		154.7		
3.516		169.5		-153.6		3.68		0.02		0.01		0.02		0.656		146.5		
3.613		177.8		-145.7		3.68		0.02		0.01		0.02		0.626		143.9		
3.711		176.5		-144.9		3.68		0.02		0.01		0.02		0.624		139.5		
3.809		179.9		-138.3		3.68		0.02		0.01		0.02		0.601		136.5		
3.906		183.4		-136.5		3.69		0.02		0.01		0.02		0.588		134.3		
4.004		186.9		-134.4		3.68		0.02		0.01		0.02		0.577		130.9		
4.102		183.0		-130.9		3.68		0.02		0.01		0.02		0.567		126.1		
4.199		182.5		-128.2		3.68		0.02		0.01		0.02		0.537		125.7		
4.297		188.2		-120.8		3.68		0.02		0.01		0.02		0.525		117.4		
4.395		190.8		-116.8		3.69		0.02		0.01		0.02		0.510		112.7		
4.492		190.8		-116.4		3.69		0.02		0.01		0.02		0.482		110.5		
4.590		191.7		-110.3		3.68		0.02		0.01		0.02		0.470		106.6		
4.688		194.3		-107.2		3.69		0.02		0.01		0.02		0.438		102.7		
4.785		194.7		-101.1		3.69		0.02		0.01		0.02		0.444		97.9		
4.883		194.7		-96.3		3.68		0.02		0.01		0.02		0.419		94.9		
4.980		137.5		-106.3		3.68		3.69		0.01		0.01		0.487		109.6		
5.078		189.5		-84.9		3.69		3.69		0.01		0.01		0.800		185.5		
5.176		190.8		-85.8		3.69		3.69		0.01		0.01		0.816		186.8		
5.273		191.7		-79.6		3.69		3.69		0.01		0.01		0.827		185.5		
5.371		188.6		-75.3		3.68		3.69		0.01		0.01		0.808		185.0		
5.469		189.5		-74.4		3.69		3.69		0.01		0.01		0.808		185.5		
5.566		191.2		-68.3		3.69		3.69		0.01		0.02		0.816		184.6		
5.664		186.4		-65.6		3.69		3.69		0.01		0.02		0.808		183.7		
5.762		188.6		-61.7		3.68		3.69		0.01		0.01		0.806		182.0		
5.859		185.6		-54.7		3.69		3.69		0.01		0.01		0.789		181.6		
5.957		182.1		-48.1		3.69		3.69		0.01		0.01		0.789		180.3		
6.055		179.9		-40.3		3.68		3.69		0.01		0.02		0.772		176.4		
6.152		177.3		-33.3		3.69		3.69		0.01		0.01		0.770		175.1		
6.250		175.2		-26.3		3.69		3.69		0.01		0.02		0.740		171.6		
6.348		176.0		-19.7		3.69		3.69		0.02		0.01		0.757		166.8		
6.445		172.1		-13.1		3.69		3.69		0.01		0.01		0.736		168.1		
6.543		168.2		-6.6		3.69		3.69		0.02		0.02		0.721		163.8		
6.641		162.6		-0.4		3.69		3.69		0.02		0.02		0.702		157.3		
6.738		159.6		11.8		3.69		3.69		0.01		0.01		0.692		154.7		
6.836		157.0		18.4		3.69		3.69		0.01		0.02		0.658		149.9		
6.934		145.3		25.8		3.69		3.69		0.01		0.01		0.645		143.0		
7.031		146.6		31.9		3.69		3.69		0.02		0.02		0.613		140.0		
7.129		140.9		39.8		3.69		3.69		0.02		0.01		0.616		139.5		
7.227		137.9		47.3		3.69		3.69		0.02		0.02		0.586		133.9		
7.324		129.6		49.9		3.69		3.69		0.01		0.02		0.565		130.4		
7.422		129.6		57.8		3.69		3.69		0.02		0.02		0.563		126.5		
7.520		127.9		58.6		3.69		3.69		0.01		0.02		0.546		122.6		
7.617		120.5		65.2		3.69		3.69		0.02		0.02		0.527		120.5		
7.715		117.1		74.0		3.69		3.69		0.02		0.02		0.512		115.3		
7.813		114.5		77.9		3.69		3.69		0.02		0.01		0.491		114.4		
7.910		112.3		80.1		3.69		3.69		0.01		0.01		0.478		109.2		
8.008		106.7		84.0		3.69		3.69		0.01		0.02		0.457		106.2		
8.105		105.8		91.0		3.69		3.69		0.01		0.01		0.444		101.4		
8.203		101.9		96.3		3.69		3.69		0.01		0.02		0.434		98.4		
8.301		98.9		99.8		0.02		3.69		3.68		0.02		0.408		95.8		
8.398		78.9		107.7		0.02		3.69		3.68		0.01		0.806		185.0		
8.496		87.6		104.2		0.02		3.69		3.68		0.01		0.821		187.2		
