Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		2.2		-165.9		0.02		0.02		0.02		0.02		0.702		156.0		
0.098		1.7		-161.5		3.69		0.02		0.01		0.02		0.709		158.2		
0.195		6.1		-164.1		3.68		0.02		0.01		0.02		0.698		159.5		
0.293		22.5		-170.7		3.69		0.02		0.01		0.02		0.734		164.7		
0.391		26.0		-171.6		3.69		0.02		0.01		0.02		0.742		169.0		
0.488		35.1		-177.2		3.69		0.02		0.01		0.02		0.753		172.9		
0.586		38.2		-178.1		3.68		0.02		0.01		0.02		0.762		173.3		
0.684		44.2		-177.7		3.68		0.02		0.01		0.01		0.783		173.8		
0.781		47.3		-182.5		3.68		0.02		0.01		0.02		0.776		175.5		
0.879		53.8		-182.1		3.68		0.02		0.01		0.02		0.781		179.8		
0.977		61.6		-181.6		3.69		0.02		0.01		0.02		0.787		179.0		
1.074		64.6		-181.6		3.68		0.02		0.01		0.02		0.793		179.8		
1.172		73.7		-184.2		3.69		0.02		0.01		0.02		0.802		182.4		
1.270		75.9		-186.9		3.69		0.02		0.01		0.02		0.806		182.0		
1.367		82.4		-190.4		3.68		0.02		0.01		0.02		0.810		182.4		
1.465		87.6		-187.7		3.68		0.02		0.01		0.01		0.800		185.5		
1.563		91.5		-185.6		3.68		0.02		0.01		0.02		0.802		182.4		
1.660		95.8		-188.2		3.68		0.02		0.01		0.02		0.819		182.0		
1.758		101.9		-191.7		3.68		0.02		0.01		0.02		0.821		184.2		
1.855		104.9		-189.9		3.69		0.02		0.01		0.02		0.816		185.0		
1.953		108.8		-191.2		3.68		0.02		0.01		0.02		0.814		182.9		
2.051		111.4		-188.6		3.69		0.02		0.01		0.02		0.814		187.2		
2.148		114.5		-189.9		3.68		0.02		0.01		0.01		0.821		185.9		
2.246		117.1		-189.5		3.68		0.02		0.01		0.02		0.806		186.3		
2.344		123.1		-187.3		3.69		0.02		0.01		0.02		0.810		183.7		
2.441		126.2		-188.2		3.69		0.02		0.01		0.02		0.814		183.3		
2.539		130.9		-186.9		3.68		0.02		0.01		0.02		0.806		181.6		
2.637		135.3		-183.4		3.68		0.02		0.01		0.02		0.793		180.3		
2.734		140.1		-182.9		3.69		0.02		0.01		0.02		0.781		179.4		
2.832		145.7		-177.2		3.68		0.02		0.01		0.02		0.764		174.2		
2.930		149.6		-176.4		3.69		0.02		0.01		0.02		0.762		172.5		
3.027		152.2		-173.3		3.68		0.02		0.01		0.02		0.740		168.6		
3.125		156.5		-169.4		3.68		0.02		0.01		0.02		0.734		165.1		
3.223		161.3		-166.3		3.69		0.02		0.01		0.02		0.702		157.3		
3.320		164.3		-160.6		3.68		0.02		0.01		0.02		0.687		157.3		
3.418		165.2		-158.9		3.68		3.69		0.01		0.01		0.692		157.7		
3.516		160.9		-159.3		3.68		3.69		0.01		0.01		0.690		156.9		
3.613		172.6		-147.9		3.69		3.69		0.01		0.01		0.730		163.8		
3.711		173.0		-146.2		3.68		3.69		0.01		0.01		0.755		167.3		
3.809		177.3		-144.9		3.68		3.69		0.01		0.01		0.751		170.3		
3.906		176.9		-138.3		3.68		3.69		0.01		0.01		0.772		171.2		
4.004		180.4		-136.5		3.68		3.69		0.01		0.01		0.770		172.5		
4.102		181.7		-130.4		3.68		3.69		0.01		0.01		0.783		175.5		
4.199		179.5		-126.0		3.68		3.68		0.01		0.01		0.791		179.0		
4.297		183.4		-122.5		3.68		3.69		0.01		0.01		0.783		177.7		
4.395		185.6		-118.2		3.69		3.69		0.01		0.02		0.793		179.8		
4.492		186.9		-112.0		3.69		3.69		0.01		0.01		0.808		181.1		
4.590		186.4		-112.9		3.68		3.68		0.01		0.01		0.802		179.8		
4.688		186.9		-103.3		3.69		3.69		0.01		0.01		0.812		179.4		
4.785		188.2		-101.5		3.68		3.69		0.01		0.01		0.816		182.4		
4.883		188.2		-97.2		3.68		3.69		0.01		0.01		0.816		184.2		
4.980		187.8		-90.6		3.69		3.69		0.01		0.01		0.800		182.9		
5.078		191.7		-92.8		3.69		3.69		0.01		0.01		0.816		185.5		
5.176		188.2		-84.9		3.69		3.69		0.01		0.01		0.810		184.6		
5.273		190.8		-78.8		3.68		3.69		0.01		0.01		0.819		187.6		
5.371		186.9		-77.5		3.69		3.69		0.01		0.01		0.804		181.6		
5.469		186.4		-72.6		3.68		3.69		0.01		0.01		0.812		183.3		
5.566		186.0		-69.1		3.69		3.69		0.01		0.01		0.806		185.9		
5.664		189.1		-63.0		3.69		3.69		0.01		0.01		0.804		183.7		
5.762		187.8		-59.1		3.68		3.69		0.01		0.01		0.795		179.0		
5.859		183.4		-54.3		3.69		3.69		0.01		0.02		0.783		180.3		
5.957		184.3		-47.3		3.69		3.69		0.01		0.01		0.783		176.4		
6.055		182.1		-40.7		3.69		3.69		0.01		0.01		0.774		173.8		
6.152		180.4		-33.7		3.69		3.69		0.01		0.01		0.772		170.3		
6.250		177.8		-25.8		3.69		3.69		0.01		0.01		0.762		169.9		
6.348		178.2		-19.3		3.69		3.69		0.01		0.01		0.732		166.8		
6.445		168.7		-11.8		3.69		3.69		0.01		0.02		0.728		166.0		
6.543		167.4		-3.5		3.69		3.69		0.01		0.01		0.721		161.2		
6.641		163.5		3.5		3.69		3.69		0.02		0.02		0.700		159.5		
6.738		159.6		0.0		0.02		3.69		3.68		0.02		0.713		160.8		
6.836		159.1		6.1		0.02		3.69		3.68		0.01		0.696		158.6		
6.934		156.1		17.5		0.02		3.69		3.69		0.02		0.734		166.0		
7.031		146.1		26.3		0.02		3.69		3.68		0.01		0.753		169.9		
7.129		140.1		34.1		0.02		3.69		3.68		0.01		0.757		172.5		
7.227		137.5		40.3		0.02		3.69		3.68		0.01		0.762		174.6		
7.324		136.2		45.5		0.03		3.69		3.69		0.02		0.757		175.1		
7.422		133.6		51.2		0.02		3.69		3.68		0.02		0.774		178.1		
7.520		126.6		56.9		0.02		3.69		3.68		0.02		0.781		179.0		
7.617		120.5		58.2		0.02		3.69		3.68		0.02		0.800		179.4		
7.715		117.5		66.1		0.02		3.69		3.69		0.01		0.789		177.2		
7.813		114.0		74.4		0.02		3.69		3.68		0.02		0.804		181.6		
7.910		113.2		77.5		0.02		3.69		3.68		0.02		0.793		178.5		
8.008		107.5		81.0		0.02		3.69		3.68		0.02		0.806		182.9		
8.105		105.8		88.0		0.02		3.69		3.68		0.02		0.810		183.7		
8.203		101.0		90.2		0.02		3.69		3.68		0.01		0.819		182.0		
8.301		94.1		95.4		0.02		3.69		3.68		0.01		0.829		186.3		
8.398		88.5		99.8		0.02		3.69		3.68		0.01		0.827		187.6		
8.496		88.0		104.6		0.02		3.69		3.68		0.02		0.823		186.8		
