Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
7.813		114.0		74.8		3.69		3.69		0.02		0.02		0.148		9.1		
7.910		111.9		81.4		3.69		3.70		0.02		0.01		0.237		14.7		
8.008		108.4		86.7		3.69		3.69		0.02		0.01		0.317		19.9		
8.105		106.7		91.0		3.69		3.69		0.01		0.01		0.391		24.9		
8.203		99.3		98.0		3.69		3.69		0.02		0.02		0.446		28.3		
8.301		94.5		99.8		3.69		3.69		0.01		0.02		0.510		32.0		
8.398		91.9		105.0		3.69		3.69		0.01		0.01		0.556		34.8		
8.496		88.5		109.4		3.69		3.69		0.01		0.01		0.616		37.8		
8.594		82.0		117.7		3.69		3.69		0.01		0.01		0.643		39.5		
8.691		80.2		117.7		3.69		3.69		0.01		0.01		0.656		41.6		
8.789		73.3		119.0		3.69		3.69		0.01		0.01		0.677		43.3		
8.887		73.3		125.6		3.68		3.69		0.01		0.02		0.709		44.5		
8.984		68.1		127.4		3.69		3.69		0.01		0.01		0.715		45.7		
9.082		62.0		131.7		3.69		3.69		0.01		0.01		0.734		46.0		
9.180		51.6		133.9		3.69		3.69		0.01		0.02		0.749		46.4		
9.277		49.9		140.5		3.69		3.69		0.01		0.01		0.723		46.6		
9.375		43.8		144.4		3.69		3.69		0.01		0.01		0.732		46.1		
9.473		35.1		151.4		3.69		3.69		0.01		0.01		0.715		45.1		
9.570		29.9		152.7		3.69		3.69		0.01		0.01		0.698		43.8		
9.668		22.1		157.5		3.69		3.69		0.01		0.01		0.677		42.6		
9.766		16.0		161.9		3.69		3.69		0.01		0.01		0.645		40.6		
9.863		10.0		165.9		3.69		3.69		0.01		0.01		0.628		38.6		
9.961		2.2		167.6		3.69		3.69		0.01		0.01		0.594		36.5		
10.059		-3.0		167.2		3.69		3.69		0.02		0.02		0.542		33.8		
10.156		-12.6		169.8		3.69		3.69		0.01		0.01		0.480		31.6		
10.254		-20.8		172.0		3.69		3.69		0.01		0.01		0.448		28.0		
10.352		-26.4		179.4		3.69		3.69		0.01		0.01		0.387		25.0		
10.449		-33.8		178.1		3.69		3.69		0.01		0.01		0.341		21.6		
10.547		-39.9		182.5		3.69		3.69		0.01		0.02		0.288		18.2		
10.645		-42.1		185.1		3.69		3.69		0.01		0.01		0.237		14.8		
10.742		-47.3		184.7		3.69		3.69		0.01		0.01		0.186		11.5		
10.840		-55.5		184.2		3.69		3.69		0.01		0.02		0.118		7.5		
10.938		-59.8		190.4		3.69		3.69		0.01		0.01		0.070		4.0		
11.035		-64.2		184.2		0.02		3.69		3.68		0.02		0.019		0.5		
11.133		-72.0		189.9		0.02		3.69		3.68		0.02		0.152		8.7		
11.230		-79.3		186.4		0.02		3.69		3.68		0.02		0.245		14.9		
11.328		-86.3		191.2		0.02		3.69		3.68		0.02		0.319		20.1		
11.426		-87.6		192.1		0.02		3.69		3.68		0.01		0.393		24.8		
11.523		-93.2		193.9		0.02		3.69		3.68		0.02		0.451		28.6		
11.621		-99.3		193.0		0.02		3.69		3.68		0.02		0.514		32.3		
11.719		-104.1		191.7		0.02		3.69		3.69		0.01		0.561		35.2		
11.816		-105.8		193.0		0.02		3.69		3.68		0.02		0.597		37.7		
11.914		-113.2		192.1		0.02		3.69		3.68		0.01		0.637		40.0		
12.012		-117.9		194.7		0.02		3.69		3.68		0.02		0.671		41.6		
12.109		-120.1		192.6		0.02		3.69		3.68		0.02		0.685		43.2		
12.207		-123.6		193.9		0.02		3.69		3.68		0.01		0.692		44.4		
12.305		-127.5		189.9		0.02		3.69		3.68		0.01		0.717		45.6		
12.402		-130.9		190.4		0.02		3.69		3.68		0.01		0.734		46.1		
12.500		-137.0		186.4		0.02		3.69		3.68		0.01		0.730		46.1		
12.598		-139.6		186.4		0.02		3.69		3.68		0.01		0.730		46.0		
12.695		-144.8		182.5		0.02		3.69		3.68		0.02		0.717		45.3		
12.793		-152.2		182.5		0.02		3.69		3.68		0.02		0.709		44.3		
12.891		-153.1		180.7		0.02		3.69		3.68		0.01		0.685		43.2		
12.988		-156.1		179.4		0.02		3.69		3.69		0.01		0.671		41.8		
13.086		-159.1		174.2		0.02		3.69		3.68		0.01		0.624		39.9		
13.184		-161.7		168.1		0.02		3.69		3.68		0.02		0.609		37.8		
13.281		-166.5		165.9		0.02		3.69		3.68		0.01		0.567		35.5		
13.379		-170.8		161.5		0.02		3.69		3.68		0.01		0.537		33.0		
13.477		-173.0		161.5		0.02		3.69		3.68		0.02		0.484		30.5		
13.574		-175.6		158.4		0.02		3.69		3.68		0.02		0.421		27.8		
13.672		-176.9		148.4		0.02		3.69		3.68		0.02		0.387		24.5		
13.770		-179.1		129.5		0.02		3.69		3.68		0.02		0.326		21.2		
13.867		-183.4		140.0		0.02		3.69		3.69		0.02		0.283		18.0		
13.965		-187.3		140.9		0.02		3.69		3.68		0.02		0.228		14.5		
14.063		-186.9		136.5		0.02		3.69		3.68		0.01		0.182		11.1		
14.160		-185.1		133.9		0.01		3.69		3.69		0.02		0.118		7.4		
14.258		-187.8		128.2		0.02		3.69		3.69		0.02		0.057		3.5		
14.355		-192.5		122.5		0.02		0.03		3.68		3.69		0.000		0.0		
14.453		-189.9		117.7		0.01		0.03		3.69		3.69		0.129		8.1		
14.551		-189.5		109.4		0.02		0.03		3.69		3.69		0.222		13.5		
14.648		-191.7		108.5		0.01		0.03		3.68		3.69		0.294		18.9		
14.746		-193.4		101.1		0.01		0.03		3.68		3.69		0.374		23.1		
14.844		-195.1		94.1		0.02		0.02		3.68		3.69		0.444		27.3		
14.941		-191.7		93.2		0.02		0.02		3.69		3.69		0.487		30.8		
15.039		-195.1		90.6		0.01		0.02		3.68		3.69		0.544		33.8		
15.137		-191.7		86.7		0.02		0.03		3.68		3.69		0.577		36.3		
15.234		-192.5		79.6		0.01		0.03		3.68		3.69		0.605		38.6		
15.332		-194.7		77.0		0.02		0.02		3.69		3.69		0.658		40.4		
15.430		-195.1		72.6		0.01		0.02		3.68		3.69		0.666		42.1		
15.527		-195.6		70.0		0.02		0.02		3.68		3.69		0.677		43.4		
15.625		-195.1		63.9		0.02		0.02		3.69		3.69		0.698		43.8		
15.723		-189.5		60.4		0.01		0.02		3.68		3.69		0.715		44.3		
15.820		-192.5		55.6		0.02		0.02		3.68		3.69		0.721		44.9		
15.918		-185.1		48.1		0.01		0.02		3.68		3.69		0.709		44.9		
16.016		-184.3		41.1		0.02		0.02		3.68		3.69		0.698		44.6		
16.113		-184.3		33.7		0.02		0.02		3.68		3.69		0.700		43.4		
16.211		-181.2		26.3		0.01		0.02		3.68		3.69		0.664		42.3		
16.309		-179.1		19.3		0.02		0.02		3.69		3.69		0.654		40.8		
16.406		-174.3		14.0		0.01		0.02		3.68		3.69		0.624		39.4		
16.504		-173.4		9.2		0.01		0.02		3.68		3.69		0.582		37.3		
16.602		-168.7		1.3		0.02		0.02		3.68		3.69		0.554		34.8		
16.699		-165.6		-3.9		0.01		0.02		3.68		3.69		0.518		32.6		
16.797		-161.7		-14.0		0.01		0.02		3.68		3.69		0.463		29.6		
16.895		-155.2		-21.0		0.01		0.02		3.68		3.69		0.412		26.9		
16.992		-150.9		-29.8		0.01		0.02		3.68		3.69		0.374		23.9		
17.090		-149.6		-33.7		0.01		0.02		3.68		3.69		0.336		20.6		
17.188		-146.6		-41.6		0.01		0.03		3.68		3.69		0.279		17.2		
17.285		-139.2		-45.5		0.01		0.02		3.68		3.69		0.216		13.6		
17.383		-134.9		-48.6		0.01		0.02		3.68		3.69		0.163		10.2		
17.480		-134.9		-54.3		0.01		0.02		3.68		3.69		0.102		6.5		
17.578		-129.2		-59.5		0.02		0.03		3.68		3.69		0.057		2.8		
17.676		-125.3		-67.8		0.01		0.01		2.36		3.69		-0.013		0.0		
17.773		-116.6		-71.8		0.02		0.02		0.02		3.69		0.099		7.1		
17.871		-111.4		-80.1		0.01		0.02		0.02		3.69		0.216		13.4		
17.969		-108.4		-86.2		0.01		0.02		0.01		3.69		0.309		18.2		
18.066		-105.8		-88.8		0.01		0.02		0.02		3.69		0.381		23.1		
18.164		-99.3		-93.7		0.02		0.02		0.02		3.69		0.436		27.3		
18.262		-96.7		-96.7		0.01		0.02		0.02		3.69		0.497		30.7		
18.359		-91.5		-103.3		0.01		0.02		0.02		3.69		0.548		33.5		
18.457		-88.5		-109.0		0.01		0.02		0.02		3.69		0.573		36.8		
18.555		-82.8		-114.7		0.01		0.02		0.02		3.69		0.613		38.9		
18.652		-82.0		-116.4		0.02		0.02		0.02		3.69		0.660		40.9		
18.750		-75.4		-123.0		0.02		0.02		0.02		3.69		0.677		42.9		
18.848		-73.7		-123.4		0.01		0.02		0.02		3.69		0.709		43.8		
18.945		-70.2		-125.2		0.02		0.02		0.02		3.69		0.732		45.1		
19.043		-65.5		-130.9		0.02		0.02		0.02		3.69		0.736		45.9		
19.141		-56.4		-138.3		0.01		0.02		0.02		3.69		0.742		46.7		
19.238		-51.6		-140.5		0.01		0.02		0.02		3.69		0.742		46.0		
19.336		-42.1		-143.1		0.01		0.02		0.02		3.69		0.728		45.9		
19.434		-37.3		-152.3		0.01		0.02		0.02		3.69		0.707		44.8		
19.531		-29.9		-154.5		0.02		0.02		0.02		3.69		0.700		44.0		
19.629		-23.4		-154.9		0.01		0.02		0.02		3.69		0.677		42.3		
19.727		-18.2		-159.7		0.01		0.02		0.02		3.69		0.647		40.9		
19.824		-13.9		-163.2		0.02		0.02		0.02		3.69		0.622		38.9		
19.922		-1.7		-165.4		0.02		0.02		0.02		3.69		0.573		36.6		
20.020		4.8		-168.5		0.01		0.02		0.02		3.69		0.552		34.4		
20.117		13.4		-173.7		0.01		0.02		0.02		3.69		0.508		31.9		
20.215		17.8		-173.3		0.01		0.02		0.02		3.69		0.459		29.0		
20.313		24.3		-178.6		0.01		0.02		0.02		3.69		0.417		25.6		
20.410		32.1		-177.7		0.01		0.02		0.02		3.69		0.360		22.4		
20.508		36.9		-182.9		0.01		0.02		0.02		3.69		0.298		19.0		
20.605		42.1		-185.1		0.01		0.02		0.02		3.69		0.241		15.6		
20.703		46.8		-182.9		0.01		0.02		0.02		3.69		0.192		12.2		
20.801		50.7		-185.6		0.02		0.02		0.02		3.69		0.133		8.6		
20.898		59.0		-186.0		0.01		0.02		0.02		3.69		0.078		5.0		
20.996		61.6		-190.8		0.02		0.02		0.02		3.69		0.023		1.7		
21.094		68.5		-184.7		0.02		0.02		0.02		0.02		0.123		6.7		
21.191		75.9		-191.2		0.02		0.02		0.02		0.02		0.220		13.8		
21.289		82.4		-190.8		0.02		0.02		0.02		0.02		0.313		18.8		
21.387		87.6		-193.0		0.02		0.02		0.02		0.02		0.381		23.8		
21.484		92.8		-190.4		0.02		0.02		0.02		0.02		0.436		27.7		
21.582		95.0		-191.2		0.02		0.02		0.02		0.02		0.510		31.7		
21.680		101.5		-194.3		0.02		0.02		0.02		0.02		0.550		34.5		
21.777		106.7		-193.0		0.02		0.02		0.02		0.02		0.601		37.5		
21.875		109.3		-194.3		0.02		0.02		0.01		0.02		0.622		39.7		
21.973		115.3		-190.8		0.02		0.02		0.02		0.02		0.654		41.7		
22.070		117.9		-193.4		0.02		0.02		0.02		0.02		0.690		43.3		
22.168		124.0		-192.6		0.02		0.02		0.02		0.02		0.702		44.5		
22.266		124.0		-192.1		0.02		0.02		0.02		0.02		0.719		45.7		
22.363		131.4		-193.4		0.02		0.02		0.02		0.02		0.728		46.2		
22.461		135.7		-189.1		0.02		0.02		0.02		0.02		0.736		46.1		
22.559		136.6		-188.6		0.02		0.02		0.01		0.02		0.738		46.2		
