Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		4.8		-169.4		0.02		0.02		3.68		3.68		-0.004		-149.1		
0.098		13.4		-170.7		0.01		0.03		3.68		3.69		-0.004		-148.2		
0.195		19.9		-176.4		0.02		0.03		3.68		3.68		-0.004		-148.6		
0.293		26.4		-175.5		0.01		0.02		3.68		3.68		0.000		-147.3		
0.391		36.9		-177.7		0.01		0.02		3.68		3.69		0.004		-149.5		
0.488		37.7		-180.3		0.02		0.03		3.68		3.68		0.000		-149.5		
0.586		46.0		-183.4		0.01		0.02		3.68		3.68		-0.002		-147.3		
0.684		52.0		-186.9		0.01		0.02		3.68		3.68		-0.002		-146.9		
0.781		57.2		-187.7		0.02		0.02		3.68		3.68		0.002		-147.3		
0.879		63.7		-189.5		0.01		0.02		3.68		3.68		-0.008		-149.9		
0.977		69.4		-190.8		0.01		0.02		3.68		3.68		0.006		-148.2		
1.074		69.8		-194.3		0.01		0.01		3.68		3.68		-0.013		-149.5		
1.172		79.3		-192.6		0.02		0.02		3.68		3.69		-0.004		-150.4		
1.270		80.7		-194.7		0.01		0.03		3.68		3.68		0.002		-148.6		
1.367		86.7		-196.1		0.01		0.03		3.68		3.69		-0.002		-148.6		
1.465		87.2		-194.7		0.01		0.02		3.68		3.68		0.008		-149.1		
1.563		95.4		-194.7		0.01		0.02		3.68		3.68		0.002		-147.3		
1.660		98.9		-195.2		0.02		0.02		3.68		3.68		0.000		-149.1		
1.758		104.1		-196.5		0.02		0.02		3.68		3.68		0.006		-150.4		
1.855		106.7		-196.9		0.01		0.02		3.68		3.68		0.006		-151.2		
1.953		111.0		-197.8		0.02		0.01		3.68		3.68		-0.013		-149.5		
2.051		114.9		-196.5		0.01		0.02		3.68		3.68		0.000		-148.6		
2.148		121.0		-199.1		0.02		0.03		3.68		3.69		0.000		-147.8		
2.246		124.0		-199.1		0.02		0.02		3.68		3.68		0.008		-149.1		
2.344		126.2		-196.1		0.01		0.03		3.68		3.68		0.002		-151.2		
2.441		132.7		-190.8		0.01		0.02		0.49		3.68		0.000		-148.6		
2.539		137.9		-190.8		0.01		0.02		0.02		3.68		0.008		-139.1		
2.637		141.8		-187.7		0.02		0.02		0.01		3.68		0.021		-140.4		
2.734		145.7		-184.7		0.01		0.02		0.02		3.68		0.025		-146.5		
2.832		152.2		-183.4		0.01		0.02		0.02		3.68		0.021		-150.4		
2.930		157.0		-178.6		0.02		0.02		0.02		3.68		0.013		-156.9		
3.027		157.8		-175.9		0.01		0.02		0.02		3.68		0.000		-158.2		
3.125		163.0		-172.0		0.01		0.02		0.01		3.68		-0.008		-148.6		
3.223		164.3		-168.5		0.01		0.02		0.02		3.68		-0.002		-148.6		
3.320		166.1		-162.4		0.01		0.02		0.02		3.68		-0.006		-152.1		
3.418		173.0		-160.2		0.01		0.02		0.02		3.68		-0.002		-148.6		
3.516		174.3		-154.0		0.01		0.02		0.02		3.68		0.004		-149.5		
3.613		180.4		-148.4		0.01		0.02		0.02		3.68		0.006		-149.9		
3.711		179.9		-147.5		0.01		0.01		0.02		3.68		-0.015		-149.1		
3.809		184.7		-140.9		0.01		0.02		0.02		3.68		0.008		-150.4		
3.906		184.3		-137.4		0.01		0.02		0.01		3.68		-0.004		-148.6		
4.004		187.3		-135.7		0.02		0.03		0.02		3.68		0.000		-148.6		
4.102		189.5		-130.4		0.01		0.03		0.02		3.68		-0.006		-148.6		
4.199		188.6		-125.6		0.01		0.01		0.02		3.68		-0.017		-149.5		
4.297		191.7		-123.4		0.02		0.01		0.02		3.68		-0.013		-146.9		
4.395		194.3		-121.7		0.01		0.01		0.02		3.68		-0.011		-150.4		
4.492		193.0		-114.2		0.01		0.02		0.02		3.68		0.002		-149.5		
4.590		195.6		-112.9		0.01		0.03		0.02		3.68		-0.004		-147.8		
4.688		195.6		-106.8		0.01		0.03		0.02		3.68		0.004		-147.8		
4.785		194.7		-105.9		0.02		0.02		0.02		3.68		0.011		-149.1		
4.883		196.9		-99.8		0.01		0.03		0.02		3.68		-0.006		-148.6		
4.980		196.4		-97.2		0.02		0.02		0.02		3.68		-0.004		-149.5		
5.078		196.4		-93.7		0.01		0.03		0.01		3.69		0.002		-147.3		
5.176		197.7		-86.7		0.02		0.03		0.02		3.68		0.004		-150.4		
5.273		199.0		-84.5		0.02		0.01		0.02		3.68		-0.011		-153.0		
5.371		196.0		-78.8		0.01		0.03		0.02		3.68		0.004		-149.1		
5.469		197.3		-76.1		0.02		0.01		0.02		3.68		-0.011		-149.9		
5.566		195.1		-73.1		0.02		0.03		0.02		3.68		0.006		-151.7		
5.664		193.4		-69.1		0.01		0.03		0.02		3.68		-0.008		-150.4		
5.762		193.0		-59.5		0.02		0.03		0.02		3.69		0.002		-147.3		
5.859		190.8		-53.8		0.02		0.02		0.02		0.02		0.011		-137.8		
5.957		189.1		-45.1		0.02		0.03		0.02		0.02		0.023		-144.3		
6.055		186.0		-38.1		0.02		0.03		0.02		0.02		0.019		-149.5		
6.152		182.1		-30.6		0.02		0.03		0.02		0.02		0.027		-151.7		
6.250		180.8		-25.4		0.02		0.03		0.02		0.02		0.008		-153.8		
6.348		176.9		-16.6		0.02		0.02		0.02		0.02		0.006		-160.8		
6.445		174.7		-9.6		0.02		0.03		0.02		0.02		-0.002		-148.2		
6.543		171.3		-3.5		0.02		0.02		0.02		0.02		0.011		-149.1		
6.641		165.2		4.8		0.02		0.01		0.02		0.02		-0.013		-149.5		
6.738		161.7		11.4		0.02		0.01		0.02		0.02		-0.015		-147.3		
6.836		155.7		17.9		0.02		0.03		0.02		0.02		-0.002		-147.8		
6.934		154.4		26.3		0.02		0.03		0.02		0.02		-0.004		-150.4		
7.031		146.1		32.4		0.02		0.01		0.02		0.02		-0.013		-151.2		
7.129		144.8		38.5		0.02		0.03		0.02		0.02		0.006		-148.6		
7.227		140.1		46.4		0.02		0.03		0.02		0.02		0.002		-151.2		
7.324		136.6		48.6		0.02		0.03		0.02		0.02		0.000		-149.1		
7.422		134.9		56.0		0.02		0.03		0.02		0.02		-0.002		-149.1		
7.520		130.5		62.1		0.02		0.03		0.02		0.02		-0.002		-148.6		
7.617		126.2		66.1		0.02		0.03		0.02		0.02		-0.006		-149.5		
7.715		121.4		73.1		0.02		0.03		0.02		0.02		-0.004		-153.0		
7.813		117.5		77.0		0.02		0.03		0.02		0.02		-0.002		-148.6		
7.910		112.7		83.6		0.02		0.03		0.02		0.02		-0.002		-149.9		
8.008		108.0		86.7		0.02		0.03		0.02		0.02		-0.004		-149.9		
8.105		108.0		92.3		0.02		0.03		0.02		0.02		-0.002		-153.0		
8.203		103.2		95.8		0.02		0.01		0.02		0.02		-0.013		-148.6		
