Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		4.3		-162.8		3.69		0.02		0.01		0.02		0.702		155.6		
0.098		5.6		-162.8		3.69		0.02		0.01		0.02		0.700		158.2		
0.195		24.3		-172.0		3.69		0.02		0.01		0.02		0.732		166.4		
0.293		32.5		-172.4		3.68		0.02		0.01		0.02		0.753		169.0		
0.391		37.3		-175.9		3.69		0.02		0.01		0.02		0.766		171.2		
0.488		40.3		-180.3		3.69		0.02		0.01		0.02		0.766		174.6		
0.586		46.8		-181.2		3.69		0.02		0.01		0.02		0.766		176.8		
0.684		53.3		-180.3		3.69		0.02		0.01		0.02		0.778		177.2		
0.781		59.4		-183.8		3.68		0.02		0.01		0.02		0.785		175.9		
0.879		63.3		-182.9		3.69		0.02		0.01		0.02		0.797		176.8		
0.977		68.5		-184.2		3.69		0.02		0.01		0.02		0.795		179.8		
1.074		70.7		-187.7		3.69		0.02		0.01		0.02		0.812		182.0		
1.172		79.8		-185.1		3.68		0.02		0.01		0.02		0.797		184.6		
1.270		83.3		-188.2		3.69		0.02		0.01		0.02		0.812		184.2		
1.367		86.7		-188.2		3.68		0.02		0.01		0.02		0.802		184.6		
1.465		93.2		-189.5		3.69		0.02		0.01		0.02		0.810		184.6		
1.563		98.0		-186.4		3.69		0.02		0.01		0.02		0.814		181.1		
1.660		103.2		-189.9		3.69		0.02		0.01		0.02		0.831		184.2		
1.758		105.8		-189.9		3.69		0.02		0.01		0.02		0.797		184.6		
1.855		109.7		-187.7		3.69		0.02		0.01		0.02		0.812		184.2		
1.953		114.0		-190.8		3.68		0.02		0.01		0.02		0.821		184.6		
2.051		118.4		-189.5		3.69		0.02		0.01		0.02		0.825		182.4		
2.148		124.0		-188.2		3.69		0.02		0.01		0.02		0.806		184.2		
2.246		124.4		-188.6		3.68		0.02		0.01		0.02		0.810		181.6		
2.344		129.6		-185.6		3.69		0.02		0.01		0.02		0.802		181.1		
2.441		134.4		-185.1		3.69		0.02		0.01		0.02		0.787		181.6		
2.539		140.9		-182.1		3.68		0.02		0.01		0.02		0.791		176.4		
2.637		143.5		-178.1		3.69		0.02		0.01		0.02		0.781		173.3		
2.734		145.3		-174.6		3.69		0.02		0.01		0.02		0.762		171.2		
2.832		152.2		-174.6		3.68		0.02		0.01		0.02		0.762		172.0		
2.930		157.4		-169.4		3.69		0.02		0.01		0.02		0.723		168.1		
3.027		160.4		-167.2		3.69		0.02		0.01		0.02		0.711		165.5		
3.125		163.0		-163.7		3.68		0.02		0.01		0.01		0.700		160.3		
3.223		166.1		-158.4		3.69		3.69		0.01		0.01		0.692		158.2		
3.320		163.5		-158.9		3.69		3.69		0.01		0.01		0.694		159.0		
3.418		162.6		-155.8		3.68		3.69		0.01		0.01		0.702		156.9		
3.516		170.4		-150.5		3.69		3.69		0.01		0.01		0.728		166.0		
3.613		173.4		-141.4		3.69		3.69		0.01		0.01		0.736		172.0		
3.711		177.3		-140.0		3.68		3.69		0.01		0.01		0.749		169.9		
3.809		177.3		-137.4		3.69		3.69		0.01		0.01		0.759		175.9		
3.906		182.1		-131.3		3.68		3.69		0.01		0.01		0.770		173.8		
4.004		182.1		-128.2		3.68		3.69		0.01		0.01		0.774		176.4		
4.102		183.0		-123.0		3.69		3.69		0.01		0.01		0.778		177.2		
4.199		183.4		-118.2		3.69		3.69		0.01		0.01		0.774		176.4		
4.297		183.8		-115.5		3.69		3.68		0.01		0.01		0.791		178.1		
4.395		184.3		-110.3		3.68		3.69		0.01		0.01		0.806		181.1		
4.492		186.9		-106.3		3.68		3.69		0.01		0.01		0.802		179.8		
4.590		191.7		-107.7		3.68		3.69		0.01		0.01		0.821		183.3		
4.688		188.2		-102.4		3.69		3.69		0.01		0.01		0.814		181.1		
4.785		188.6		-95.0		3.69		3.69		0.01		0.01		0.802		182.0		
4.883		189.1		-93.2		3.68		3.69		0.01		0.01		0.810		181.1		
4.980		189.5		-85.3		3.69		3.69		0.01		0.01		0.814		187.2		
5.078		189.5		-82.3		3.69		3.69		0.01		0.02		0.814		185.0		
5.176		190.4		-80.1		3.69		3.69		0.01		0.01		0.800		182.0		
5.273		190.4		-76.1		3.69		3.69		0.01		0.01		0.810		183.3		
5.371		186.9		-72.2		3.69		3.69		0.01		0.01		0.808		183.3		
5.469		188.6		-69.6		3.69		3.69		0.01		0.01		0.819		183.3		
5.566		186.9		-62.1		3.69		3.69		0.01		0.01		0.795		183.7		
5.664		186.0		-58.6		3.69		3.69		0.01		0.02		0.802		180.3		
5.762		183.8		-51.6		3.69		3.69		0.01		0.02		0.781		181.6		
5.859		180.8		-41.6		3.69		3.69		0.02		0.02		0.768		177.7		
5.957		180.4		-36.8		3.69		3.69		0.01		0.02		0.762		175.1		
6.055		176.5		-32.4		3.69		3.69		0.01		0.02		0.749		170.3		
6.152		176.0		-23.6		3.69		3.69		0.01		0.02		0.751		170.7		
6.250		170.4		-17.9		3.69		3.69		0.01		0.02		0.736		170.3		
6.348		170.8		-11.4		3.69		3.69		0.01		0.01		0.730		162.9		
6.445		163.0		-2.6		3.69		3.69		0.01		0.01		0.711		157.7		
6.543		163.0		4.8		0.12		3.69		3.68		0.02		0.685		158.2		
6.641		160.9		7.4		0.02		3.69		3.69		0.02		0.707		158.6		
6.738		161.3		9.6		0.02		3.69		3.69		0.02		0.702		160.3		
6.836		146.1		24.1		0.02		3.69		3.69		0.02		0.747		168.6		
6.934		144.8		26.3		0.02		3.69		3.69		0.01		0.747		168.1		
7.031		140.5		34.1		0.02		3.69		3.69		0.02		0.757		171.2		
7.129		136.2		42.0		0.02		3.69		3.68		0.02		0.770		175.5		
7.227		130.9		46.0		0.02		3.69		3.69		0.01		0.774		178.5		
7.324		130.1		52.5		0.02		3.70		3.69		0.02		0.791		176.8		
7.422		124.9		59.1		0.02		3.69		3.69		0.02		0.787		177.2		
7.520		121.0		63.9		0.02		3.69		3.69		0.02		0.793		177.7		
7.617		114.0		68.3		0.02		3.69		3.69		0.02		0.808		182.0		
7.715		113.6		73.1		0.02		3.69		3.69		0.02		0.797		180.3		
7.813		108.8		77.5		0.02		3.69		3.69		0.02		0.814		182.4		
7.910		106.7		83.6		0.02		3.69		3.69		0.02		0.810		183.3		
8.008		99.7		89.3		0.02		3.69		3.68		0.01		0.808		186.3		
8.105		98.0		93.2		0.02		3.69		3.68		0.01		0.829		185.0		
8.203		96.7		96.7		0.02		3.69		3.69		0.02		0.816		186.3		
8.301		89.8		102.8		0.02		3.69		3.69		0.01		0.819		183.7		
8.398		86.3		103.7		0.02		3.69		3.68		0.01		0.821		188.5		
8.496		83.7		109.4		0.02		3.69		3.68		0.01		0.827		187.2		
